rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Arlington Soccer Association ECNL G2013/14,Arlington Soccer Association,134240,0,0,0,0,0,0.0,0,0,0
2,Beach FC (VA) ECNL G2013/14,Beach FC,135516,0,0,0,0,0,0.0,0,0,0
3,Charlotte SA ECNL G2013/14,Charlotte Soccer Academy,131428,0,0,0,0,0,0.0,0,0,0
4,Fairfax Virginia Union ECNL G2013/14,Fairfax Virginia Union,135364,0,0,0,0,0,0.0,0,0,0
5,NC Fusion ECNL G2013/14,NC Fusion,112976,0,0,0,0,0,0.0,0,0,0
6,NCFC Youth ECNL G2013/14,NCFC Youth,132023,0,0,0,0,0,0.0,0,0,0
7,NCFC Youth NC Courage ECNL G2013/14,NCFC Youth,131830,0,0,0,0,0,0.0,0,0,0
8,Richmond United ECNL G2013/14,Richmond United,133824,0,0,0,0,0,0.0,0,0,0
9,South Carolina Surf ECNL G2013/14,South Carolina Surf SC,129050,0,0,0,0,0,0.0,0,0,0
10,VDA ECNL G2013/14,Virginia Development Academy,133050,0,0,0,0,0,0.0,0,0,0
11,Wilmington Hammerheads ECNL G2013/14,Wilmington Hammerheads,134657,0,0,0,0,0,0.0,0,0,0
