rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G09,Penn Fusion Soccer Academy,46945,9,8,0,1,25,2.78,36,5,31
2,Match Fit Surf ECNL G09,Match Fit Surf,46947,9,8,0,1,25,2.78,33,7,26
3,PDA Blue ECNL G09,PDA Blue (North),13678,9,6,2,1,19,2.11,26,6,20
4,HEX FC Bucks ECNL G09,HEX FC,46941,9,4,4,1,13,1.44,14,26,-12
5,FC DELCO ECNL G09,FC DELCO,46942,9,3,3,3,12,1.33,16,10,6
6,Pipeline SC ECNL G09,Pipeline SC,46948,9,3,3,3,12,1.33,9,18,-9
7,PDA White ECNL G09,PDA White (Shore),13679,9,3,4,2,11,1.22,10,21,-11
8,Philadelphia Ukrainian Nationals ECNL G09,Philadelphia Ukrainian Nationals,71617,9,1,7,1,4,0.44,9,19,-10
9,Maryland United FC ECNL G09,Maryland United Football Club,46944,9,0,5,4,4,0.44,9,25,-16
10,Bethesda SC ECNL G09,Bethesda SC,46940,9,0,8,1,1,0.11,4,29,-25
