rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G10,Penn Fusion Soccer Academy,59666,9,9,0,0,27,3.0,36,5,31
2,PDA Blue ECNL G10,PDA Blue (North),56324,9,7,2,0,21,2.33,21,11,10
3,Philadelphia Ukrainian Nationals ECNL G10,Philadelphia Ukrainian Nationals,68066,9,6,3,0,18,2.0,20,8,12
4,PDA White ECNL G10,PDA White (Shore),35695,9,5,4,0,15,1.67,17,14,3
5,Bethesda SC ECNL G10,Bethesda SC,60101,9,4,4,1,13,1.44,21,14,7
6,FC DELCO ECNL G10,FC DELCO,59671,9,4,4,1,13,1.44,19,12,7
7,Match Fit Surf ECNL G10,Match Fit Surf,21396,9,4,4,1,13,1.44,17,12,5
8,Maryland United FC ECNL G10,Maryland United Football Club,62050,9,2,7,0,6,0.67,6,20,-14
9,HEX FC Bucks ECNL G10,HEX FC,58137,9,1,7,1,4,0.44,6,31,-25
10,Pipeline SC ECNL G10,Pipeline SC,53320,9,0,7,2,2,0.22,4,40,-36
