rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,PDA Blue ECNL G13,PDA Blue (North),90682,18,14,4,0,42,2.33,59,16,43
2,Match Fit Surf ECNL G13,Match Fit Surf,43460,18,13,3,2,41,2.28,43,13,30
3,FC DELCO ECNL G13,FC DELCO,94408,18,12,3,3,39,2.17,33,12,21
4,PDA White ECNL G13,PDA White (Shore),68375,18,10,4,4,34,1.89,40,21,19
5,Philadelphia Ukrainian Nationals ECNL G13,Philadelphia Ukrainian Nationals,94622,18,9,7,2,29,1.61,36,23,13
6,Penn Fusion SA ECNL G13,Penn Fusion Soccer Academy,94712,18,8,7,3,27,1.5,35,17,18
7,Maryland United FC ECNL G13,Maryland United Football Club,95035,18,5,6,7,22,1.22,20,20,0
8,Bethesda SC ECNL G13,Bethesda SC,95839,18,5,11,2,17,0.94,26,29,-3
9,HEX FC Bucks ECNL G13,HEX FC,92364,18,1,16,1,4,0.22,6,65,-59
10,Pipeline SC ECNL G13,Pipeline SC,110326,18,1,17,0,3,0.17,4,86,-82
