rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Philadelphia Ukrainian Nationals ECNL G12,Philadelphia Ukrainian Nationals,94617,18,15,2,1,46,2.56,45,12,33
2,PDA Blue ECNL G12,PDA Blue (North),44350,18,12,3,3,39,2.17,48,11,37
3,FC DELCO ECNL G12,FC DELCO,48170,18,12,4,2,38,2.11,48,12,36
4,Penn Fusion SA ECNL G12,Penn Fusion Soccer Academy,81252,18,11,5,2,35,1.94,39,20,19
5,Bethesda SC ECNL G12,Bethesda SC,82193,18,10,5,3,33,1.83,42,24,18
6,Maryland United FC ECNL G12,Maryland United Football Club,82349,18,7,9,2,23,1.28,23,25,-2
7,Match Fit Surf ECNL G12,Match Fit Surf,54497,18,6,9,3,21,1.17,29,30,-1
8,PDA White ECNL G12,PDA White (Shore),74902,18,6,10,2,20,1.11,31,31,0
9,Pipeline SC ECNL G12,Pipeline SC,79385,18,1,17,0,3,0.17,7,77,-70
10,HEX FC Bucks ECNL G12,HEX FC,79658,18,1,17,0,3,0.17,6,76,-70
