rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Penn Fusion SA ECNL G08/07,Penn Fusion Soccer Academy,44737,9,8,0,1,25,2.78,51,2,49,G2008/2007,ECNL
2,PDA Blue ECNL G08/07,PDA Blue (North),3701,9,8,0,1,25,2.78,48,3,45,G2008/2007,ECNL
3,Pipeline SC ECNL G08/07,Pipeline SC,45827,9,5,3,1,16,1.78,20,12,8,G2008/2007,ECNL
4,HEX FC Bucks ECNL G08/07,HEX FC,26917,9,5,4,0,15,1.67,15,21,-6,G2008/2007,ECNL
5,Bethesda SC ECNL G08/07,Bethesda SC,46815,9,5,4,0,15,1.67,19,16,3,G2008/2007,ECNL
6,Maryland United FC ECNL G08/07,No Club Selection,36637,9,4,5,0,12,1.33,13,15,-2,G2008/2007,ECNL
7,FC DELCO ECNL G08/07,FC DELCO,36383,9,3,4,2,11,1.22,13,19,-6,G2008/2007,ECNL
8,Match Fit Surf ECNL G08/07,Match Fit Surf,34505,9,3,6,0,9,1.0,9,30,-21,G2008/2007,ECNL
9,Philadelphia Ukrainian Nationals ECNL G08/07,Philadelphia Ukrainian Nationals,72153,9,1,8,0,3,0.33,4,38,-34,G2008/2007,ECNL
10,PDA White ECNL G08/07,PDA White (Shore),11460,9,0,8,1,1,0.11,2,38,-36,G2008/2007,ECNL
1,Penn Fusion SA ECNL G09,Penn Fusion Soccer Academy,46945,9,8,0,1,25,2.78,36,5,31,G2009,ECNL
2,Match Fit Surf ECNL G09,Match Fit Surf,46947,9,8,0,1,25,2.78,33,7,26,G2009,ECNL
3,PDA Blue ECNL G09,PDA Blue (North),13678,9,6,2,1,19,2.11,26,6,20,G2009,ECNL
4,HEX FC Bucks ECNL G09,HEX FC,46941,9,4,4,1,13,1.44,14,26,-12,G2009,ECNL
5,FC DELCO ECNL G09,FC DELCO,46942,9,3,3,3,12,1.33,16,10,6,G2009,ECNL
6,Pipeline SC ECNL G09,Pipeline SC,46948,9,3,3,3,12,1.33,9,18,-9,G2009,ECNL
7,PDA White ECNL G09,PDA White (Shore),13679,9,3,4,2,11,1.22,10,21,-11,G2009,ECNL
8,Philadelphia Ukrainian Nationals ECNL G09,Philadelphia Ukrainian Nationals,71617,9,1,7,1,4,0.44,9,19,-10,G2009,ECNL
9,Maryland United FC ECNL G09,Maryland United Football Club,46944,9,0,5,4,4,0.44,9,25,-16,G2009,ECNL
10,Bethesda SC ECNL G09,Bethesda SC,46940,9,0,8,1,1,0.11,4,29,-25,G2009,ECNL
1,Penn Fusion SA ECNL G10,Penn Fusion Soccer Academy,59666,9,9,0,0,27,3.0,36,5,31,G2010,ECNL
2,PDA Blue ECNL G10,PDA Blue (North),56324,9,7,2,0,21,2.33,21,11,10,G2010,ECNL
3,Philadelphia Ukrainian Nationals ECNL G10,Philadelphia Ukrainian Nationals,68066,9,6,3,0,18,2.0,20,8,12,G2010,ECNL
4,PDA White ECNL G10,PDA White (Shore),35695,9,5,4,0,15,1.67,17,14,3,G2010,ECNL
5,Bethesda SC ECNL G10,Bethesda SC,60101,9,4,4,1,13,1.44,21,14,7,G2010,ECNL
6,FC DELCO ECNL G10,FC DELCO,59671,9,4,4,1,13,1.44,19,12,7,G2010,ECNL
7,Match Fit Surf ECNL G10,Match Fit Surf,21396,9,4,4,1,13,1.44,17,12,5,G2010,ECNL
8,Maryland United FC ECNL G10,Maryland United Football Club,62050,9,2,7,0,6,0.67,6,20,-14,G2010,ECNL
9,HEX FC Bucks ECNL G10,HEX FC,58137,9,1,7,1,4,0.44,6,31,-25,G2010,ECNL
10,Pipeline SC ECNL G10,Pipeline SC,53320,9,0,7,2,2,0.22,4,40,-36,G2010,ECNL
1,Bethesda SC ECNL G11,Bethesda SC,69569,9,7,1,1,22,2.44,27,6,21,G2011,ECNL
2,FC DELCO ECNL G11,FC DELCO,68932,9,6,2,1,19,2.11,13,7,6,G2011,ECNL
3,PDA Blue ECNL G11,PDA Blue (North),44465,9,6,2,1,19,2.11,27,14,13,G2011,ECNL
4,Penn Fusion SA ECNL G11,Penn Fusion Soccer Academy,68841,9,5,2,2,17,1.89,25,8,17,G2011,ECNL
5,Match Fit Surf ECNL G11,Match Fit Surf,34875,9,4,3,2,14,1.56,16,8,8,G2011,ECNL
6,HEX FC Bucks ECNL G11,HEX FC,67902,9,4,5,0,12,1.33,15,11,4,G2011,ECNL
7,Philadelphia Ukrainian Nationals ECNL G11,Philadelphia Ukrainian Nationals,68006,9,3,4,2,11,1.22,9,13,-4,G2011,ECNL
8,Maryland United FC ECNL G11,Maryland United Football Club,69710,9,3,5,1,10,1.11,11,16,-5,G2011,ECNL
9,PDA White ECNL G11,PDA White (Shore),18651,9,1,6,2,5,0.56,5,21,-16,G2011,ECNL
10,Pipeline SC ECNL G11,Pipeline SC,55341,9,0,9,0,0,0.0,2,46,-44,G2011,ECNL
