rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bethesda SC ECNL G11,Bethesda SC,69569,9,7,1,1,22,2.44,27,6,21
2,FC DELCO ECNL G11,FC DELCO,68932,9,6,2,1,19,2.11,13,7,6
3,PDA Blue ECNL G11,PDA Blue (North),44465,9,6,2,1,19,2.11,27,14,13
4,Penn Fusion SA ECNL G11,Penn Fusion Soccer Academy,68841,9,5,2,2,17,1.89,25,8,17
5,Match Fit Surf ECNL G11,Match Fit Surf,34875,9,4,3,2,14,1.56,16,8,8
6,HEX FC Bucks ECNL G11,HEX FC,67902,9,4,5,0,12,1.33,15,11,4
7,Philadelphia Ukrainian Nationals ECNL G11,Philadelphia Ukrainian Nationals,68006,9,3,4,2,11,1.22,9,13,-4
8,Maryland United FC ECNL G11,Maryland United Football Club,69710,9,3,5,1,10,1.11,11,16,-5
9,PDA White ECNL G11,PDA White (Shore),18651,9,1,6,2,5,0.56,5,21,-16
10,Pipeline SC ECNL G11,Pipeline SC,55341,9,0,9,0,0,0.0,2,46,-44
