rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL G08,Concorde Fire ,46806,15,13,2,0,39,2.6,51,12,39
2,CESA Liberty ECNL G08,Carolina Elite Soccer Academy,27972,15,10,1,4,34,2.27,22,9,13
3,GSA ECNL G08,Gwinnett Soccer Academy,46812,15,9,4,2,29,1.93,29,19,10
4,Alabama FC ECNL G08,Alabama FC,46807,15,9,5,1,28,1.87,39,17,22
5,Concorde Fire Premier ECNL G08,Concorde Fire ,46809,15,8,4,3,27,1.8,40,16,24
6,Tampa Bay United ECNL G08,Tampa Bay United,36328,15,7,4,4,25,1.67,19,15,4
7,FC Prime ECNL G08,Athletic Club Florida,38492,15,6,5,4,22,1.47,22,21,1
8,Jacksonville FC ECNL G08,Jacksonville FC,46814,15,7,7,1,22,1.47,21,19,2
9,Atlanta Fire United ECNL G08,Atlanta Fire United,43088,15,6,6,3,21,1.4,15,13,2
10,Florida Elite ECNL G08,Sporting SA,46901,15,5,6,4,19,1.27,28,31,-3
11,South Carolina United ECNL G08,South Carolina United FC,43173,15,4,6,5,17,1.13,21,37,-16
12,FL Premier FC ECNL G08,Florida Premier FC,69291,15,5,8,2,17,1.13,23,29,-6
13,United Futbol Academy ECNL G08,United Futbol Academy,45834,15,5,10,0,15,1.0,20,22,-2
14,Orlando City ECNL G08,Seminole United,28033,15,4,8,3,15,1.0,16,33,-17
15,Florida Krush ECNL G08,Florida Kraze Krush,34961,15,2,9,4,10,0.67,14,26,-12
16,Florida West FC ECNL G08,AC Florida West,47396,15,0,15,0,0,0.0,8,69,-61
