rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL G05/04,Concorde Fire ,19902,15,13,1,1,40,2.67,95,19,76
2,United Futbol Academy ECNL G05/04,United Futbol Academy,45837,15,13,1,1,40,2.67,98,14,84
3,Florida Elite ECNL G05/04,Sporting SA,11546,14,10,2,2,32,2.29,40,13,27
4,GSA ECNL G05/04,Gwinnett Soccer Academy,11636,15,9,3,3,30,2.0,54,25,29
5,Alabama FC ECNL G05/04,Alabama FC,11332,15,8,4,3,27,1.8,40,35,5
6,CESA Liberty ECNL G05/04,Carolina Elite Soccer Academy,11512,15,8,5,2,26,1.73,25,23,2
7,Atlanta Fire United ECNL G05/04,Atlanta Fire United,11274,15,8,5,2,26,1.73,39,32,7
8,South Carolina United ECNL G05/04,South Carolina United FC,11040,15,7,7,1,22,1.47,37,49,-12
9,Florida Krush ECNL G05/04,No Club Selection,11093,15,7,7,1,22,1.47,22,26,-4
10,Orlando City ECNL G05/04,Seminole United,11637,15,6,6,3,21,1.4,20,26,-6
11,Tampa Bay United ECNL G05/04,Tampa Bay United,11775,15,7,8,0,21,1.4,23,36,-13
12,FC Prime ECNL G05/04,Athletic Club Florida,19371,15,4,11,0,12,0.8,24,54,-30
13,Concorde Fire Premier ECNL G05/04,Concorde Fire ,12255,15,3,11,1,10,0.67,17,44,-27
14,FL Premier FC ECNL G05/04,Florida Premier FC,69288,14,2,9,3,9,0.64,21,40,-19
15,Florida West FC ECNL G05/04,AC Florida West,47399,15,1,13,1,4,0.27,13,66,-53
16,Jacksonville FC ECNL G05/04,No Club Selection,12063,15,1,14,0,3,0.2,11,77,-66
