rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FC Prime ECNL G09,Athletic Club Florida,46728,15,13,0,2,41,2.73,53,12,41
2,United Futbol Academy ECNL G09,United Futbol Academy,59536,15,13,1,1,40,2.67,57,7,50
3,Concorde Fire Platinum ECNL G09,Concorde Fire ,59255,15,13,2,0,39,2.6,44,9,35
4,Alabama FC ECNL G09,Alabama FC,58734,15,11,3,1,34,2.27,36,13,23
5,GSA ECNL G09,Gwinnett Soccer Academy,59311,15,10,3,2,32,2.13,27,12,15
6,CESA Liberty ECNL G09,Carolina Elite Soccer Academy,46817,15,9,5,1,28,1.87,23,15,8
7,FL Premier FC ECNL G09,Florida Premier FC,69292,15,6,5,4,22,1.47,19,17,2
8,South Carolina United ECNL G09,South Carolina United FC,50959,15,6,8,1,19,1.27,20,25,-5
9,Concorde Fire Premier ECNL G09,Concorde Fire ,59236,15,5,8,2,17,1.13,18,36,-18
10,Florida Elite ECNL G09,Sporting SA,45064,15,4,7,4,16,1.07,18,31,-13
11,Orlando City ECNL G09,Seminole United,59913,15,4,8,3,15,1.0,22,37,-15
12,Atlanta Fire United ECNL G09,Atlanta Fire United,60033,15,4,9,2,14,0.93,20,39,-19
13,Florida West FC ECNL G09,AC Florida West,45629,15,3,9,3,12,0.8,21,40,-19
14,Tampa Bay United ECNL G09,Tampa Bay United,49152,15,3,11,1,10,0.67,25,37,-12
15,Florida Krush ECNL G09,Florida Kraze Krush,34958,15,2,12,1,7,0.47,10,37,-27
16,Jacksonville FC ECNL G09,Jacksonville FC,45667,15,0,15,0,0,0.0,7,53,-46
