rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL G06,Concorde Fire ,19885,15,12,0,3,39,2.6,59,10,49
2,GSA ECNL G06,Gwinnett Soccer Academy,20326,15,11,0,4,37,2.47,52,10,42
3,United Futbol Academy ECNL G06,United Futbol Academy,45836,15,10,1,4,34,2.27,33,9,24
4,Tampa Bay United ECNL G06,Tampa Bay United,20339,15,10,3,2,32,2.13,38,20,18
5,FC Prime ECNL G06,Athletic Club Florida,20328,15,8,3,4,28,1.87,37,18,19
6,CESA Liberty ECNL G06,Carolina Elite Soccer Academy,11339,15,8,5,2,26,1.73,25,12,13
7,Concorde Fire Premier ECNL G06,Concorde Fire ,20325,15,7,5,3,24,1.6,23,22,1
8,Atlanta Fire United ECNL G06,Atlanta Fire United,20323,15,6,5,4,22,1.47,25,24,1
9,Alabama FC ECNL G06,Alabama FC,20321,15,5,4,6,21,1.4,22,18,4
10,Orlando City ECNL G06,Seminole United,20338,15,3,7,5,14,0.93,20,28,-8
11,FL Premier FC ECNL G06,Florida Premier FC,69289,15,4,9,2,14,0.93,18,43,-25
12,Florida Krush ECNL G06,No Club Selection,20335,15,3,8,4,13,0.87,19,36,-17
13,Florida Elite ECNL G06,Sporting SA,20333,15,1,9,5,8,0.53,8,25,-17
14,South Carolina United ECNL G06,South Carolina United FC,20318,15,1,9,5,8,0.53,17,49,-32
15,Florida West FC ECNL G06,AC Florida West,47398,15,2,13,0,6,0.4,9,56,-47
16,Jacksonville FC ECNL G06,No Club Selection,20322,15,1,11,3,6,0.4,12,37,-25
