rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL G07,Concorde Fire ,35256,15,13,2,0,39,2.6,54,11,43
2,FL Premier FC ECNL G07,Florida Premier FC,69290,15,12,3,0,36,2.4,51,12,39
3,United Futbol Academy ECNL G07,United Futbol Academy,45835,15,11,2,2,35,2.33,46,17,29
4,Jacksonville FC ECNL G07,No Club Selection,35265,15,9,2,4,31,2.07,32,14,18
5,GSA ECNL G07,Gwinnett Soccer Academy,33371,15,8,4,3,27,1.8,25,17,8
6,Atlanta Fire United ECNL G07,Atlanta Fire United,34662,15,8,5,2,26,1.73,21,16,5
7,Orlando City ECNL G07,Seminole United,35258,15,7,5,3,24,1.6,28,20,8
8,Tampa Bay United ECNL G07,Tampa Bay United,21279,15,5,5,5,20,1.33,17,25,-8
9,South Carolina United ECNL G07,South Carolina United FC,35270,15,6,7,2,20,1.33,17,31,-14
10,CESA Liberty ECNL G07,Carolina Elite Soccer Academy,20311,15,5,7,3,18,1.2,12,14,-2
11,FC Prime ECNL G07,Athletic Club Florida,22549,15,4,5,6,18,1.2,21,28,-7
12,Alabama FC ECNL G07,Alabama FC,35266,15,5,8,2,17,1.13,23,37,-14
13,Concorde Fire Premier ECNL G07,Concorde Fire ,35262,15,2,10,3,9,0.6,14,34,-20
14,Florida Krush ECNL G07,Florida Kraze Krush,35020,15,1,9,5,8,0.53,12,28,-16
15,Florida Elite ECNL G07,Sporting SA,35114,15,1,10,4,7,0.47,3,23,-20
16,Florida West FC ECNL G07,No Club Selection,47397,15,1,14,0,3,0.2,13,62,-49
