rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Real Colorado National ECNL G10,Real Colorado,69251,15,13,1,1,40,2.67,64,5,59
2,SOLAR SC ECNL G10,Solar SC,66050,15,12,2,1,37,2.47,55,16,39
3,FC Dallas ECNL G10,FC Dallas Youth,46266,15,11,1,3,36,2.4,36,12,24
4,Sting Austin ECNL G10,Sting Austin,69524,15,11,2,2,35,2.33,31,10,21
5,Albion Hurricanes FC ECNL G10,Albion Hurricanes FC,40463,15,9,2,4,31,2.07,33,12,21
6,Sting Royal ECNL G10,Sting Soccer Club,68974,15,9,5,1,28,1.87,28,23,5
7,Sting Black ECNL G10,Sting Soccer Club,48667,15,6,4,5,23,1.53,18,11,7
8,Challenge SC ECNL G10,Challenge SC,66750,15,7,6,2,23,1.53,21,18,3
9,Colorado Rapids ECNL G10,Colorado Storm,69485,15,5,6,4,19,1.27,20,18,2
10,OK Energy FC ECNL G10,Oklahoma Energy FC,61013,15,5,7,3,18,1.2,19,25,-6
11,DKSC ECNL G10,DKSC,68923,15,5,8,2,17,1.13,22,31,-9
12,Dallas Texans ECNL G10,Dallas Texans,69269,15,2,9,4,10,0.67,13,44,-31
13,Colorado Rush Academy Blue ECNL G10,Colorado Rush,94985,15,3,11,1,10,0.67,15,46,-31
14,Real Colorado Athletico ECNL G10,Real Colorado,69250,15,2,11,2,8,0.53,11,35,-24
15,Classics Elite ECNL G10,Classics Elite Soccer Academy,44138,15,1,14,0,3,0.2,8,39,-31
16,West Side Alliance ECNL G10,West Side Alliance SC,110467,15,0,12,3,3,0.2,11,60,-49
