rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Real Colorado National ECNL G08/07,Real Colorado,45853,15,14,0,1,43,2.87,49,10,39
2,FC Dallas ECNL G08/07,FC Dallas Youth,46900,15,12,3,0,36,2.4,46,19,27
3,Sting Royal ECNL G08/07,Sting Soccer Club,11429,15,10,1,4,34,2.27,43,15,28
4,SOLAR SC ECNL G08/07,Solar SC,46791,15,7,3,5,26,1.73,40,32,8
5,Colorado Rush Academy Blue ECNL G08/07,Colorado Rush,94980,15,7,5,3,24,1.6,35,30,5
6,DKSC ECNL G08/07,No Club Selection,35219,14,6,4,4,22,1.57,26,23,3
7,OK Energy FC ECNL G08/07,Oklahoma Energy FC,59503,14,6,4,4,22,1.57,27,23,4
8,Colorado Rapids ECNL G08/07,Colorado Storm,46752,15,6,6,3,21,1.4,29,32,-3
9,Sting Austin ECNL G08/07,Sting Austin,46779,15,5,5,5,20,1.33,27,25,2
10,Challenge SC ECNL G08/07,Challenge SC,44419,15,5,6,4,19,1.27,22,27,-5
11,Dallas Texans ECNL G08/07,Dallas Texans,45786,15,5,7,3,18,1.2,16,27,-11
12,Albion Hurricanes FC ECNL G08/07,Albion Hurricanes FC,39582,15,4,9,2,14,0.93,19,25,-6
13,Real Colorado Athletico ECNL G08/07,Real Colorado,46443,15,1,6,8,11,0.73,16,30,-14
14,West Side Alliance ECNL G08/07,West Side Alliance SC,110464,15,2,12,1,7,0.47,13,44,-31
15,Sting Black ECNL G08/07,Sting Soccer Club,115999,14,1,10,3,6,0.43,18,38,-20
16,Classics Elite ECNL G08/07,Classics Elite Soccer Academy,29192,14,1,11,2,5,0.36,13,39,-26
