rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Sting Black ECNL G13,Sting Soccer Club,82159,15,15,0,0,45,3.0,46,5,41
2,Sting Royal ECNL G13,Sting Soccer Club,111849,15,13,2,0,39,2.6,49,20,29
3,Real Colorado National ECNL G13,Real Colorado,99152,15,11,2,2,35,2.33,39,11,28
4,FC Dallas ECNL G13,FC Dallas Youth,115991,15,11,3,1,34,2.27,73,11,62
5,SOLAR SC ECNL G13,Solar SC,59794,15,10,3,2,32,2.13,52,19,33
6,OK Energy FC ECNL G13,Oklahoma Energy FC,80828,15,8,6,1,25,1.67,42,29,13
7,DKSC ECNL G13,DKSC,114045,15,7,5,3,24,1.6,23,26,-3
8,Albion Hurricanes FC ECNL G13,Albion Hurricanes FC,69768,15,7,8,0,21,1.4,27,30,-3
9,Sting Austin ECNL G13,Sting Austin,95513,15,5,5,5,20,1.33,26,23,3
10,Colorado Rush Academy Blue ECNL G13,Colorado Rush,90652,15,5,9,1,16,1.07,26,42,-16
11,Dallas Texans ECNL G13,Dallas Texans,114455,15,4,7,4,16,1.07,15,40,-25
12,Challenge SC ECNL G13,Challenge SC,109565,15,3,10,2,11,0.73,19,36,-17
13,Real Colorado Athletico ECNL G13,Real Colorado,99153,15,3,10,2,11,0.73,14,41,-27
14,Colorado Rapids ECNL G13,Colorado Storm,111254,15,2,10,3,9,0.6,15,22,-7
15,Classics Elite ECNL G13,Classics Elite Soccer Academy,66700,15,2,12,1,7,0.47,15,57,-42
16,West Side Alliance ECNL G13,West Side Alliance SC,78763,15,0,14,1,1,0.07,3,72,-69
