rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SOLAR SC ECNL G09,Solar SC,59562,15,14,0,1,43,2.87,78,9,69
2,FC Dallas ECNL G09,FC Dallas Youth,58541,15,11,0,4,37,2.47,48,14,34
3,Sting Royal ECNL G09,Sting Soccer Club,68973,15,9,3,3,30,2.0,37,12,25
4,Real Colorado National ECNL G09,Real Colorado,58631,15,9,3,3,30,2.0,40,18,22
5,Sting Black ECNL G09,Sting Soccer Club,59553,15,8,4,3,27,1.8,27,17,10
6,Albion Hurricanes FC ECNL G09,Albion Hurricanes FC,59340,15,8,5,2,26,1.73,33,18,15
7,Colorado Rapids ECNL G09,Colorado Storm,59850,15,6,5,4,22,1.47,21,21,0
8,Sting Austin ECNL G09,Sting Austin,45246,15,6,6,3,21,1.4,27,23,4
9,Challenge SC ECNL G09,Challenge SC,55881,15,5,6,4,19,1.27,31,33,-2
10,West Side Alliance ECNL G09,West Side Alliance SC,110465,15,5,7,3,18,1.2,17,24,-7
11,Colorado Rush Blue ECNL G09,Colorado Rush,94982,15,5,8,2,17,1.13,23,24,-1
12,DKSC ECNL G09,DKSC,47082,15,4,6,5,17,1.13,19,31,-12
13,OK Energy FC ECNL G09,Oklahoma Energy FC,59502,14,4,8,2,14,1.0,23,40,-17
14,Dallas Texans ECNL G09,Dallas Texans,59998,15,3,12,0,9,0.6,9,55,-46
15,Classics Elite ECNL G09,Classics Elite Soccer Academy,40417,14,1,12,1,4,0.29,12,63,-51
16,Real Colorado Athletico ECNL G09,Real Colorado,58634,15,1,14,0,3,0.2,11,54,-43
