rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SOLAR SC ECNL G11,Solar SC,81882,15,14,0,1,43,2.87,48,4,44
2,Real Colorado National ECNL G11,Real Colorado,81431,15,11,3,1,34,2.27,31,6,25
3,Sting Austin ECNL G11,Sting Austin,80047,15,11,4,0,33,2.2,37,8,29
4,FC Dallas ECNL G11,FC Dallas Youth,63889,15,10,3,2,32,2.13,31,7,24
5,OK Energy FC ECNL G11,Oklahoma Energy FC,80774,15,10,3,2,32,2.13,38,16,22
6,Sting Royal ECNL G11,Sting Soccer Club,80240,15,10,3,2,32,2.13,24,8,16
7,Sting Black ECNL G11,Sting Soccer Club,80765,15,9,4,2,29,1.93,24,15,9
8,Classics Elite ECNL G11,Classics Elite Soccer Academy,44142,15,6,7,2,20,1.33,28,35,-7
9,Colorado Rapids ECNL G11,Colorado Storm,72334,15,5,7,3,18,1.2,12,11,1
10,West Side Alliance ECNL G11,West Side Alliance SC,110468,15,4,5,6,18,1.2,13,27,-14
11,Dallas Texans ECNL G11,Dallas Texans,81587,15,3,8,4,13,0.87,18,23,-5
12,Colorado Rush Academy Blue ECNL G11,Colorado Rush,95046,15,3,9,3,12,0.8,12,29,-17
13,Challenge SC ECNL G11,Challenge SC,79514,15,3,10,2,11,0.73,8,28,-20
14,Real Colorado Athletico ECNL G11,Real Colorado,81521,15,2,12,1,7,0.47,11,40,-29
15,Albion Hurricanes FC ECNL G11,Albion Hurricanes FC,81918,15,1,11,3,6,0.4,11,39,-28
16,DKSC ECNL G11,DKSC,81104,15,0,13,2,2,0.13,9,59,-50
