rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Richmond United ECNL G08/07,Richmond United,46822,9,8,1,0,24,2.67,30,14,16
2,VDA ECNL G08/07,Virginia Development Academy,46823,9,7,2,0,21,2.33,43,9,34
3,Charlotte SA ECNL G08/07,Charlotte Soccer Academy,112520,9,6,2,1,19,2.11,35,15,20
4,NC Courage ECNL G08/07,NC Courage Academy,44728,9,6,3,0,18,2.0,24,10,14
5,Fairfax VA Union ECNL G08/07,Fairfax Virginia Union,96994,9,5,3,1,16,1.78,18,20,-2
6,Wilmington Hammerheads ECNL G08/07,Wilmington Hammerheads,46818,9,4,3,2,14,1.56,18,19,-1
7,Arlington Soccer ECNL G08/07,Arlington Soccer Association,82194,9,4,5,0,12,1.33,16,26,-10
8,Beach FC (VA) ECNL G08/07,No Club Selection,67846,9,2,7,0,6,0.67,10,36,-26
9,NC Fusion ECNL G08/07,NC Fusion,13888,9,1,8,0,3,0.33,7,36,-29
10,NCFC Youth ECNL G08/07,NCFC Youth,45785,9,0,9,0,0,0.0,6,22,-16
