rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Fairfax VA Union ECNL G12,Fairfax Virginia Union,96998,18,13,2,3,42,2.33,58,20,38
2,Arlington Soccer ECNL G12,Arlington Soccer Association,94064,18,12,1,5,41,2.28,50,18,32
3,Charlotte SA ECNL G12,Charlotte Soccer Academy,94387,18,12,3,3,39,2.17,45,13,32
4,NC Courage ECNL G12,NC Courage Academy,89643,18,9,5,4,31,1.72,36,22,14
5,Richmond United ECNL G12,Richmond United,95419,18,7,7,4,25,1.39,31,25,6
6,VDA ECNL G12,Virginia Development Academy,94863,18,4,8,6,18,1.0,15,31,-16
7,NC Fusion ECNL G12,NC Fusion,95059,18,3,7,8,17,0.94,11,29,-18
8,Wilmington Hammerheads ECNL G12,Wilmington Hammerheads,89644,18,4,12,2,14,0.78,19,41,-22
9,Beach FC (VA) ECNL G12,No Club Selection,94924,18,2,9,7,13,0.72,4,24,-20
10,NCFC Youth ECNL G12,NCFC Youth,94046,18,2,14,2,8,0.44,13,59,-46
