rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Fairfax VA Union ECNL G13,Fairfax Virginia Union,105966,18,18,0,0,54,3.0,49,9,40
2,Charlotte SA ECNL G13,Charlotte Soccer Academy,112519,18,12,3,3,39,2.17,47,12,35
3,Arlington Soccer ECNL G13,Arlington Soccer Association,115423,18,11,6,1,34,1.89,29,21,8
4,Wilmington Hammerheads ECNL G13,Wilmington Hammerheads,99310,18,9,6,3,30,1.67,27,23,4
5,Richmond United ECNL G13,Richmond United,115037,18,7,7,4,25,1.39,18,13,5
6,VDA ECNL G13,Virginia Development Academy,113303,18,6,7,5,23,1.28,29,22,7
7,NC Courage ECNL G13,NC Courage Academy,105590,18,7,9,2,23,1.28,36,35,1
8,NCFC Youth ECNL G13,NCFC Youth,98907,18,5,8,5,20,1.11,19,26,-7
9,Beach FC (VA) ECNL G13,No Club Selection,112504,18,1,13,4,7,0.39,12,40,-28
10,NC Fusion ECNL G13,NC Fusion,112976,18,0,17,1,1,0.06,8,73,-65
