rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,WNY Flash ECNL G10,WNY Flash Academy,47037,11,10,1,0,30,2.73,34,6,28
2,FC Pride Elite ECNL G10,FC Pride,45767,11,8,1,2,26,2.36,25,6,19
3,Ohio Premier ECNL G10,Ohio Premier,65018,11,8,2,1,25,2.27,19,9,10
4,Indy Eleven Pro Academy ECNL G10,Indy Eleven Academy,46996,11,6,2,3,21,1.91,16,10,6
5,Internationals SC ECNL G10,Internationals SC,47002,11,6,3,2,20,1.82,16,12,4
6,Tennessee SC ECNL G10,Tennessee SC,69535,11,5,6,0,15,1.36,14,7,7
7,Ohio Elite Soccer Academy ECNL G10,Ohio Elite Soccer Academy,47009,11,4,5,2,14,1.27,11,15,-4
8,Pittsburgh Riverhounds ECNL G10,Pittsburgh Riverhounds,60737,11,2,5,4,10,0.91,11,21,-10
9,Racing Louisville Academy ECNL G10,Racing Louisville Academy,60642,11,3,7,1,10,0.91,11,25,-14
10,Cleveland Force SC ECNL G10,Cleveland Force SC,46986,11,2,8,1,7,0.64,10,18,-8
11,FC Alliance ECNL G10,FC Alliance TN,59430,11,2,9,0,6,0.55,12,33,-21
12,Kings Hammer SC ECNL G10, Kings Hammer Columbus,47015,11,0,7,4,4,0.36,6,23,-17
