rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Kings Hammer SC ECNL G11, Kings Hammer Columbus,52788,16,11,3,2,35,2.19,36,13,23
2,WNY Flash ECNL G11,WNY Flash Academy,36933,16,9,3,4,31,1.94,22,16,6
3,Cleveland Force SC ECNL G11,Cleveland Force SC,60170,16,8,3,5,29,1.81,27,17,10
4,Pittsburgh Riverhounds ECNL G11,Pittsburgh Riverhounds,82213,16,8,3,5,29,1.81,40,27,13
5,Ohio Premier ECNL G11,Ohio Premier,65017,16,6,7,3,21,1.31,31,28,3
6,Internationals SC ECNL G11,Internationals SC,54724,16,6,7,3,21,1.31,28,31,-3
