rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Ohio Premier ECNL G07/06,Ohio Premier,33377,11,10,0,1,31,2.82,39,3,36,G2007/2006,ECNL
2,Internationals SC ECNL G07/06,Internationals SC,35240,11,10,1,0,30,2.73,52,13,39,G2007/2006,ECNL
3,Indy Eleven Pro Academy ECNL G07,Indy Eleven Academy,23407,11,6,2,3,21,1.91,35,13,22,G2007/2006,ECNL
4,Tennessee SC ECNL G07/06,Tennessee SC,35277,11,6,3,2,20,1.82,31,17,14,G2007/2006,ECNL
5,Pittsburgh Riverhounds ECNL G07/06,No Club Selection,35276,11,6,4,1,19,1.73,21,15,6,G2007/2006,ECNL
6,WNY Flash ECNL G07/06,WNY Flash Academy,35279,11,5,5,1,16,1.45,20,27,-7,G2007/2006,ECNL
7,Cleveland Force SC ECNL G07/06,Cleveland Force SC,46989,11,4,6,1,13,1.18,29,30,-1,G2007/2006,ECNL
8,FC Pride Elite ECNL G07/06,No Club Selection,92640,11,3,6,2,11,1.0,24,25,-1,G2007/2006,ECNL
9,Racing Louisville Academy ECNL G07/06,Racing Louisville Academy,45894,10,3,6,1,10,1.0,15,32,-17,G2007/2006,ECNL
10,Ohio Elite Soccer Academy ECNL G07/06,Ohio Elite Soccer Academy,35241,11,3,7,1,10,0.91,17,28,-11,G2007/2006,ECNL
11,FC Alliance ECNL G07/06,FC Alliance TN,35238,11,1,9,1,4,0.36,6,58,-52,G2007/2006,ECNL
12,Kings Hammer SC ECNL G07/06, Kings Hammer Columbus,47018,10,1,9,0,3,0.3,12,40,-28,G2007/2006,ECNL
1,Indy Eleven Pro Academy ECNL G08,Indy Eleven Academy,46796,11,9,0,2,29,2.64,23,7,16,G2008,ECNL
2,Ohio Elite Soccer Academy ECNL G08,Ohio Elite Soccer Academy,46798,11,8,1,2,26,2.36,26,12,14,G2008,ECNL
3,Tennessee SC ECNL G08,Tennessee SC,46804,11,6,2,3,21,1.91,20,13,7,G2008,ECNL
4,Cleveland Force SC ECNL G08,Cleveland Force SC,46988,11,6,4,1,19,1.73,22,15,7,G2008,ECNL
5,FC Alliance ECNL G08,FC Alliance TN,46371,11,6,4,1,19,1.73,21,16,5,G2008,ECNL
6,Racing Louisville Academy ECNL G08,Racing Louisville Academy,45893,11,4,3,4,16,1.45,21,18,3,G2008,ECNL
7,Ohio Premier ECNL G08,Ohio Premier,46800,11,4,4,3,15,1.36,22,18,4,G2008,ECNL
8,WNY Flash ECNL G08,WNY Flash Academy,12942,11,4,4,3,15,1.36,18,15,3,G2008,ECNL
