rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Internationals SC ECNL G09,Internationals SC,47003,11,10,1,0,30,2.73,29,5,24
2,Pittsburgh Riverhounds ECNL G09,Pittsburgh Riverhounds,4298,11,9,2,0,27,2.45,36,4,32
3,Ohio Premier ECNL G09,Ohio Premier,60137,11,8,2,1,25,2.27,23,11,12
4,Tennessee SC ECNL G09,Tennessee SC,47036,11,8,2,1,25,2.27,28,11,17
5,Ohio Elite Soccer Academy ECNL G09,Ohio Elite Soccer Academy,47010,11,7,2,2,23,2.09,27,10,17
6,Indy Eleven Pro Academy ECNL G09,Indy Eleven Academy,46997,11,4,4,3,15,1.36,18,21,-3
7,Kings Hammer SC ECNL G09, Kings Hammer Columbus,47016,11,5,6,0,15,1.36,18,19,-1
8,Cleveland Force SC ECNL G09,Cleveland Force SC,46987,11,4,6,1,13,1.18,14,21,-7
9,WNY Flash ECNL G09,WNY Flash Academy,47038,11,2,8,1,7,0.64,12,21,-9
10,FC Pride Elite ECNL G09,FC Pride,45768,11,1,8,2,5,0.45,8,36,-28
11,FC Alliance ECNL G09,FC Alliance TN,59348,11,0,8,3,3,0.27,8,32,-24
12,Racing Louisville Academy ECNL G09,Racing Louisville Academy,59527,11,0,9,2,2,0.18,3,33,-30
