rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Arlington Soccer ECNL G11,Arlington Soccer Association,82199,24,22,1,1,67,2.79,91,6,85
2,Charlotte SA ECNL G11,Charlotte Soccer Academy,82098,24,19,3,2,59,2.46,93,21,72
3,VDA ECNL G11,Virginia Development Academy,81266,24,14,6,4,46,1.92,36,24,12
4,NC Courage ECNL G11,NC Courage Academy,81852,24,13,5,6,45,1.88,62,30,32
5,Richmond United ECNL G11,Richmond United,81703,24,12,7,5,41,1.71,57,34,23
6,Beach FC (VA) ECNL G11,No Club Selection,67862,24,11,6,7,40,1.67,30,20,10
7,Fairfax BRAVE SC ENCL G11,Fairfax Virginia Union,78147,24,9,9,6,33,1.38,30,38,-8
8,NVA ECNL G11,Northern Virginia Alliance,57280,24,8,10,6,30,1.25,28,29,-1
9,VA Union ECNL G11 ,Fairfax Virginia Union,67638,24,8,12,4,28,1.17,33,54,-21
10,Charlotte Independence ECNL G11,Charlotte Independence SC,81530,24,7,13,4,25,1.04,31,47,-16
11,NC Fusion ECNL G11,NC Fusion,82112,24,2,18,4,10,0.42,19,69,-50
12,NCFC Youth ECNL G11,NCFC Youth,80895,24,2,18,4,10,0.42,14,68,-54
13,Wilmington Hammerheads ECNL G11,Wilmington Hammerheads,78045,24,1,20,3,6,0.25,13,97,-84
