rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,NC Courage ECNL G08,NC Courage Academy,44728,12,10,0,2,32,2.67,42,10,32
2,Wilmington Hammerheads ECNL G08,Wilmington Hammerheads,46818,12,8,1,3,27,2.25,29,15,14
3,NVA ECNL G08,Northern Virginia Alliance,46824,12,8,2,2,26,2.17,24,8,16
4,Fairfax BRAVE SC ECNL G08,Fairfax Virginia Union,11956,12,8,4,0,24,2.0,23,12,11
5,VDA ECNL G08,Virginia Development Academy,46823,12,6,5,1,19,1.58,21,16,5
6,Charlotte SA ECNL G08,Charlotte Soccer Academy,44721,12,5,4,3,18,1.5,29,19,10
7,Richmond United ECNL G08,Richmond United,46822,12,4,4,4,16,1.33,19,11,8
8,VA Union ECNL G08,Fairfax Virginia Union,46827,12,4,5,3,15,1.25,13,26,-13
9,Charlotte Independence ECNL G08,Charlotte Independence SC,28376,12,4,6,2,14,1.17,20,23,-3
10,NCFC Youth ECNL G08,NCFC Youth,45785,12,3,6,3,12,1.0,15,21,-6
11,Arlington Soccer ECNL G08,Arlington Soccer Association,82194,12,3,6,3,12,1.0,27,28,-1
12,Beach FC (VA) ECNL G08,No Club Selection,67846,12,2,10,0,6,0.5,9,41,-32
13,NC Fusion ECNL G08,NC Fusion,13888,12,0,12,0,0,0.0,3,44,-41
