rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,NVA ECNL G07,Northern Virginia Alliance,35287,12,9,1,2,29,2.42,29,11,18
2,NC Courage ECNL G07,NC Courage Academy,44729,12,9,2,1,28,2.33,33,11,22
3,Charlotte SA ECNL G07,Charlotte Soccer Academy,44722,12,8,4,0,24,2.0,20,12,8
4,VA Union ECNL G07,Fairfax Virginia Union,25892,12,7,2,3,24,2.0,36,19,17
5,NC Fusion ECNL G07,NC Fusion,35269,12,7,3,2,23,1.92,35,16,19
6,Wilmington Hammerheads ECNL G07,No Club Selection,35272,12,7,4,1,22,1.83,41,25,16
7,Richmond United ECNL G07,Richmond United,22314,12,5,4,3,18,1.5,26,27,-1
8,Beach FC (VA) ECNL G07,Beach FC,67842,12,4,5,3,15,1.25,18,23,-5
9,Arlington Soccer ECNL G07,Arlington Soccer Association,82190,12,3,7,2,11,0.92,17,29,-12
10,NCFC Youth ECNL G07,NCFC Youth,35268,12,3,8,1,10,0.83,15,27,-12
11,VDA ECNL G07,Virginia Development Academy,35271,12,2,8,2,8,0.67,17,33,-16
12,Fairfax BRAVE SC ECNL G07,Fairfax Virginia Union,11957,12,2,10,0,6,0.5,6,48,-42
13,Charlotte Independence ECNL G07,Charlotte Independence SC,35286,12,1,9,2,5,0.42,15,27,-12
