rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Charlotte SA ECNL G10,Charlotte Soccer Academy,63697,24,22,0,2,68,2.83,79,14,65
2,VA Union ECNL G10,Fairfax Virginia Union,69871,24,15,4,5,50,2.08,80,34,46
3,VDA ECNL G10,Virginia Development Academy,19656,24,12,4,8,44,1.83,58,30,28
4,NC Courage ECNL G10,NC Courage Academy,69433,24,13,9,2,41,1.71,46,32,14
5,Fairfax BRAVE SC ECNL G10,Fairfax Virginia Union,68366,24,11,8,5,38,1.58,45,41,4
6,Charlotte Independence ECNL G10 ,Charlotte Independence SC,68981,24,11,11,2,35,1.46,33,31,2
7,NC Fusion ECNL G10,NC Fusion,69224,24,9,12,3,30,1.25,32,47,-15
8,NVA ECNL G10,Northern Virginia Alliance,69367,24,8,11,5,29,1.21,44,61,-17
9,Richmond United ECNL G10,Richmond United,62158,24,8,12,4,28,1.17,41,49,-8
10,NCFC Youth ECNL G10,NCFC Youth,69196,24,7,11,6,27,1.13,25,47,-22
11,Arlington Soccer ECNL G10,Arlington Soccer Association,82198,24,6,11,7,25,1.04,28,32,-4
12,Wilmington Hammerheads ECNL G10,Wilmington Hammerheads,69446,24,4,17,3,15,0.63,28,65,-37
13,Beach FC (VA) ECNL G10,No Club Selection,67859,24,4,20,0,12,0.5,12,68,-56
