rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,NVA ECNL G09,Northern Virginia Alliance,54842,12,11,0,1,34,2.83,28,6,22
2,Charlotte SA ECNL G09,Charlotte Soccer Academy,59885,12,10,1,1,31,2.58,41,12,29
3,VDA ECNL G09,Virginia Development Academy,59474,12,9,3,0,27,2.25,28,9,19
4,NC Courage ECNL G09,NC Courage Academy,60108,12,8,3,1,25,2.08,24,17,7
5,Richmond United ECNL G09,Richmond United,59426,12,7,4,1,22,1.83,23,13,10
6,Wilmington Hammerheads ECNL G09,Wilmington Hammerheads,59888,12,6,4,2,20,1.67,21,17,4
7,VA Union ECNL G09,Fairfax Virginia Union,60092,12,4,4,4,16,1.33,24,21,3
8,Arlington Soccer ECNL G09,Arlington Soccer Association,82196,12,4,6,2,14,1.17,17,21,-4
9,Charlotte Independence ECNL G09,Charlotte Independence SC,59088,12,4,6,2,14,1.17,21,22,-1
10,NCFC Youth ECNL G09,NCFC Youth,59930,12,3,7,2,11,0.92,15,17,-2
11,Beach FC (VA) ECNL G09,No Club Selection,68414,12,2,9,1,7,0.58,13,36,-23
12,NC Fusion ECNL G09,NC Fusion,50566,12,1,10,1,4,0.33,10,37,-27
13,Fairfax BRAVE SC ECNL G09,Fairfax Virginia Union,11955,12,0,12,0,0,0.0,3,40,-37
