rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,United Futbol Academy ECNL G11,United Futbol Academy,78164,15,12,0,3,39,2.6,42,2,40
2,GSA ECNL G11,Gwinnett Soccer Academy,78200,15,10,1,4,34,2.27,38,13,25
3,FC Prime ECNL G11,Athletic Club Florida,83371,15,11,3,1,34,2.27,40,17,23
4,FL Premier FC ECNL G11,Florida Premier FC,69294,15,10,3,2,32,2.13,33,14,19
5,Florida Elite ECNL G11,Sporting SA,69334,15,9,2,4,31,2.07,32,20,12
6,Concorde Fire Platinum ECNL G11,Concorde Fire ,81340,15,8,5,2,26,1.73,22,13,9
7,CESA Liberty ECNL G11,Carolina Elite Soccer Academy,78145,15,5,2,8,23,1.53,23,19,4
8,Alabama FC ECNL G11,Alabama FC,81762,15,6,7,2,20,1.33,25,26,-1
9,Florida Krush ECNL G11,Florida Kraze Krush,34957,15,5,6,4,19,1.27,15,17,-2
10,Jacksonville FC ECNL G11,Jacksonville FC,81133,15,5,6,4,19,1.27,17,28,-11
11,Tampa Bay United ECNL G11,Tampa Bay United,69067,15,4,8,3,15,1.0,14,23,-9
12,Concorde Fire Premier ECNL G11,Concorde Fire ,81344,15,3,7,5,14,0.93,13,15,-2
13,Florida West FC ECNL G11,AC Florida West,68724,15,2,9,4,10,0.67,15,36,-21
14,South Carolina United ECNL G11,South Carolina United FC,78158,15,2,10,3,9,0.6,10,26,-16
15,Orlando City ECNL G11,Seminole United,80370,15,1,12,2,5,0.33,7,51,-44
16,Atlanta Fire United ECNL G11,Atlanta Fire United,79893,15,0,12,3,3,0.2,8,34,-26
