rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FL Premier FC ECNL G07,Florida Premier FC,69290,15,13,2,0,39,2.6,47,8,39
2,Concorde Fire Platinum ECNL G07,Concorde Fire ,35256,15,12,2,1,37,2.47,36,12,24
3,Jacksonville FC ECNL G07,No Club Selection,35265,15,10,2,3,33,2.2,48,21,27
4,United Futbol Academy ECNL G07,United Futbol Academy,45835,15,10,4,1,31,2.07,45,18,27
5,Atlanta Fire United ECNL G07,Atlanta Fire United,34662,15,9,4,2,29,1.93,43,22,21
6,GSA ECNL G07,Gwinnett Soccer Academy,33371,15,8,3,4,28,1.87,39,19,20
7,FC Prime ECNL G07,Athletic Club Florida,22549,15,7,6,2,23,1.53,25,25,0
8,Orlando City ECNL G07,Seminole United,35258,15,6,5,4,22,1.47,31,26,5
9,Florida Krush ECNL G07,Florida Kraze Krush,35020,15,5,6,4,19,1.27,21,30,-9
10,CESA Liberty ECNL G07,Carolina Elite Soccer Academy,20311,15,6,9,0,18,1.2,23,23,0
11,South Carolina United ECNL G07,South Carolina United FC,35270,15,4,8,3,15,1.0,18,37,-19
12,Tampa Bay United ECNL G07,Tampa Bay United,21279,15,4,9,2,14,0.93,29,40,-11
13,Florida Elite ECNL G07,Sporting SA,35114,15,3,8,4,13,0.87,16,42,-26
14,Alabama FC ECNL G07,Alabama FC,35266,15,4,11,0,12,0.8,29,42,-13
15,Florida West FC ECNL G07,No Club Selection,47397,15,1,12,2,5,0.33,16,68,-52
16,Concorde Fire Premier ECNL G07,Concorde Fire ,35262,15,1,12,2,5,0.33,15,48,-33
