rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Premier ECNL G08,Concorde Fire ,46809,15,11,1,3,36,2.4,40,10,30
2,Concorde Fire Platinum ECNL G08,Concorde Fire ,46806,15,10,3,2,32,2.13,51,18,33
3,GSA ECNL G08,Gwinnett Soccer Academy,46812,15,8,2,5,29,1.93,21,13,8
4,Atlanta Fire United ECNL G08,Atlanta Fire United,43088,15,8,3,4,28,1.87,25,12,13
5,Alabama FC ECNL G08,Alabama FC,46807,15,8,5,2,26,1.73,29,19,10
6,Tampa Bay United ECNL G08,Tampa Bay United,36328,15,8,5,2,26,1.73,21,19,2
7,FC Prime ECNL G08,Athletic Club Florida,38492,15,8,5,2,26,1.73,14,15,-1
8,Florida Krush ECNL G08,Florida Kraze Krush,34961,15,6,5,4,22,1.47,25,14,11
9,Jacksonville FC ECNL G08,Jacksonville FC,46814,15,5,4,6,21,1.4,17,14,3
10,CESA Liberty ECNL G08,Carolina Elite Soccer Academy,27972,15,6,6,3,21,1.4,19,17,2
11,South Carolina United ECNL G08,South Carolina United FC,43173,15,5,7,3,18,1.2,24,25,-1
12,FL Premier FC ECNL G08,Florida Premier FC,69291,15,5,9,1,16,1.07,19,23,-4
13,United Futbol Academy ECNL G08,United Futbol Academy,45834,15,3,7,5,14,0.93,15,20,-5
14,Florida Elite ECNL G08,Sporting SA,46901,15,3,10,2,11,0.73,11,20,-9
15,Orlando City ECNL G08,Seminole United,28033,15,2,9,4,10,0.67,16,45,-29
16,Florida West FC ECNL G08,AC Florida West,47396,15,0,15,0,0,0.0,2,65,-63
