rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,GSA ECNL G10,Gwinnett Soccer Academy,68924,15,13,1,1,40,2.67,59,7,52
2,FL Premier FC ECNL G10,Florida Premier FC,69293,15,13,1,1,40,2.67,59,13,46
3,Concorde Fire Platinum ECNL G10,Concorde Fire ,68802,15,13,1,1,40,2.67,46,11,35
4,FC Prime ECNL G10,Athletic Club Florida,46727,15,12,3,0,36,2.4,49,12,37
5,Atlanta Fire United ECNL G10,Atlanta Fire United,67127,15,8,6,1,25,1.67,37,20,17
6,Florida Elite ECNL G10,Sporting SA,65960,15,6,5,4,22,1.47,23,21,2
7,United Futbol Academy ECNL G10,United Futbol Academy,65981,15,7,7,1,22,1.47,34,36,-2
8,South Carolina United ECNL G10,South Carolina United FC,66055,15,6,6,3,21,1.4,20,26,-6
9,Alabama FC ECNL G10,Alabama FC,69023,15,5,8,2,17,1.13,24,30,-6
10,Jacksonville FC ECNL G10,Jacksonville FC,69484,15,5,8,2,17,1.13,21,34,-13
11,CESA Liberty ECNL G10,Carolina Elite Soccer Academy,65585,15,5,9,1,16,1.07,22,25,-3
12,Orlando City ECNL G10,Seminole United,69112,15,5,10,0,15,1.0,20,50,-30
13,Florida Krush ECNL G10,Florida Kraze Krush,34955,15,4,9,2,14,0.93,11,33,-22
14,Tampa Bay United ECNL G10,Tampa Bay United,49144,15,2,11,2,8,0.53,17,44,-27
15,Concorde Fire Premier ECNL G10,Concorde Fire ,68797,15,2,11,2,8,0.53,15,45,-30
16,Florida West FC ECNL G10,AC Florida West,68716,15,2,12,1,7,0.47,14,64,-50
