rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SLSG Navy ECNL GU14,St. Louis Scott Gallagher,46768,19,15,1,3,48,2.53,63,9,54
2,Kansas City Athletics ECNL GU14,KC Athletics,33175,19,12,7,0,36,1.89,42,26,16
3,Minnesota Thunder ECNL GU14,Minnesota Thunder Academy,46774,19,9,6,4,31,1.63,35,26,9
4,Sporting Blue Valley ECNL GU14,Sporting Blue Valley,46617,19,9,7,3,30,1.58,40,22,18
5,SLSG Green ECNL GU14,St. Louis Scott Gallagher,46767,19,6,10,3,21,1.11,14,23,-9
6,Sporting Iowa ECNL GU14,Sporting Iowa Central,59751,19,3,13,3,12,0.63,17,55,-38
7,Gretna Elite Academy ECNL GU14,Gretna Elite Academy,46765,19,1,16,2,5,0.26,16,75,-59
