rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Kansas City Athletics ECNL GU17,KC Athletics,19378,13,11,2,0,33,2.54,51,8,43
2,Michigan Hawks ECNL GU17,Michigan Hawks,19897,13,10,1,2,32,2.46,42,13,29
3,SLSG Navy ECNL GU17,St. Louis Scott Gallagher,11283,13,9,0,4,31,2.38,34,4,30
4,Sporting Blue Valley ECNL GU17,Sporting Blue Valley,46620,13,9,1,3,30,2.31,38,10,28
5,Minnesota Thunder ECNL GU17,No Club Selection,12530,13,9,2,2,29,2.23,31,10,21
6,Eclipse Select SC ECNL GU17,Eclipse Select Soccer Club,12526,13,6,7,0,18,1.38,21,25,-4
7,Sporting Iowa ECNL GU17,Sporting Iowa Central,59755,13,4,4,5,17,1.31,21,25,-4
8,SLSG Green ECNL GU17,St. Louis Scott Gallagher,12529,13,4,6,3,15,1.15,10,15,-5
9,Gretna Elite Academy ECNL GU17,No Club Selection,11096,13,4,7,2,14,1.08,26,46,-20
10,Midwest United FC ECNL GU17,Midwest United FC,59330,13,4,7,2,14,1.08,23,24,-1
11,Eclipse Select SC North ECNL GU17,Eclipse Select Soccer Club,20189,13,3,9,1,10,0.77,9,36,-27
12,FC Wisconsin ECNL GU17,No Club Selection,11102,13,3,9,1,10,0.77,13,25,-12
13,Michigan Hawks Magic ECNL GU17,Michigan Hawks,11290,13,2,10,1,7,0.54,9,35,-26
14,Liverpool FC IA Michigan ECNL GU17,Liverpool FC-IA Michigan,58651,13,0,13,0,0,0.0,5,57,-52
