rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Eclipse Select SC ECNL GU14,Eclipse Select Soccer Club,46760,19,18,1,0,54,2.84,55,8,47
2,Michigan Hawks ECNL GU14,Michigan Hawks,46771,19,16,2,1,49,2.58,66,17,49
3,Midwest United FC ECNL GU14,Midwest United FC,59336,19,8,8,3,27,1.42,21,32,-11
4,Michigan Hawks Magic ECNL GU14,Michigan Hawks,46773,19,8,9,2,26,1.37,19,27,-8
5,FC Wisconsin ECNL GU14,FC Wisconsin Girls,46764,19,3,11,5,14,0.74,8,27,-19
6,Eclipse Select SC North ECNL GU14,Eclipse Select Soccer Club,46762,19,3,12,4,13,0.68,9,36,-27
