rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Michigan Hawks ECNL GU15,Michigan Hawks,35251,13,11,1,1,34,2.62,33,4,29
2,Eclipse Select SC ECNL GU15,Eclipse Select Soccer Club,13614,13,9,1,3,30,2.31,20,9,11
3,SLSG Navy ECNL GU15,St. Louis Scott Gallagher,34464,13,10,3,0,30,2.31,49,13,36
4,Kansas City Athletics ECNL GU15,KC Athletics,19672,13,9,3,1,28,2.15,40,15,25
5,Sporting Blue Valley ECNL GU15,Sporting Blue Valley,46618,13,9,3,1,28,2.15,28,16,12
6,Gretna Elite Academy ECNL GU15,No Club Selection,35249,13,7,4,2,23,1.77,28,17,11
7,Minnesota Thunder ECNL GU15,No Club Selection,35253,13,6,5,2,20,1.54,28,15,13
8,Midwest United FC ECNL GU15,Midwest United FC,59334,13,5,4,4,19,1.46,20,15,5
9,SLSG Green ECNL GU15,St. Louis Scott Gallagher,35254,13,5,5,3,18,1.38,19,19,0
10,Sporting Iowa ECNL GU15,Sporting Iowa Central,59752,13,2,9,2,8,0.62,10,35,-25
11,FC Wisconsin ECNL GU15,FC Wisconsin Girls,35250,13,2,9,2,8,0.62,6,32,-26
12,Michigan Hawks Magic ECNL GU15,Michigan Hawks,35252,13,2,10,1,7,0.54,6,25,-19
13,Liverpool FC IA Michigan ECNL GU15,Liverpool FC-IA Michigan,58649,13,1,10,2,5,0.38,7,40,-33
14,Eclipse Select SC North ECNL GU15,Eclipse Select Soccer Club,35248,13,1,12,0,3,0.23,4,43,-39
