rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Michigan Hawks ECNL GU13,Michigan Hawks,50646,19,15,3,1,46,2.42,44,9,35,GU13,East
2,Michigan Hawks Magic ECNL GU13,Michigan Hawks,54823,19,2,14,3,9,0.47,18,54,-36,GU13,East
1,SLSG Navy ECNL GU13,St. Louis Scott Gallagher,54343,18,15,1,2,47,2.61,52,7,45,GU13,West
2,Kansas City Athletics ECNL GU13,KC Athletics,46766,19,11,3,5,38,2.0,32,17,15,GU13,West
3,Minnesota Thunder ECNL GU13,Minnesota Thunder Academy,52518,19,10,3,6,36,1.89,37,7,30,GU13,West
4,Sporting Blue Valley ECNL GU13,Sporting Blue Valley,60884,18,8,8,2,26,1.44,31,21,10,GU13,West
5,SLSG Green ECNL GU13,St. Louis Scott Gallagher,53259,19,7,8,4,25,1.32,23,27,-4,GU13,West
6,Gretna Elite Academy ECNL GU13,Gretna Elite Academy,55220,19,6,11,2,20,1.05,28,37,-9,GU13,West
7,Sporting Iowa ECNL GU13,Sporting Iowa Central,59750,19,0,17,2,2,0.11,4,75,-71,GU13,West
1,Eclipse Select SC ECNL GU14,Eclipse Select Soccer Club,46760,19,18,1,0,54,2.84,55,8,47,GU14,East
2,Michigan Hawks ECNL GU14,Michigan Hawks,46771,19,16,2,1,49,2.58,66,17,49,GU14,East
3,Midwest United FC ECNL GU14,Midwest United FC,59336,19,8,8,3,27,1.42,21,32,-11,GU14,East
4,Michigan Hawks Magic ECNL GU14,Michigan Hawks,46773,19,8,9,2,26,1.37,19,27,-8,GU14,East
5,FC Wisconsin ECNL GU14,FC Wisconsin Girls,46764,19,3,11,5,14,0.74,8,27,-19,GU14,East
6,Eclipse Select SC North ECNL GU14,Eclipse Select Soccer Club,46762,19,3,12,4,13,0.68,9,36,-27,GU14,East
1,SLSG Navy ECNL GU14,St. Louis Scott Gallagher,46768,19,15,1,3,48,2.53,63,9,54,GU14,West
2,Kansas City Athletics ECNL GU14,KC Athletics,33175,19,12,7,0,36,1.89,42,26,16,GU14,West
3,Minnesota Thunder ECNL GU14,Minnesota Thunder Academy,46774,19,9,6,4,31,1.63,35,26,9,GU14,West
4,Sporting Blue Valley ECNL GU14,Sporting Blue Valley,46617,19,9,7,3,30,1.58,40,22,18,GU14,West
5,SLSG Green ECNL GU14,St. Louis Scott Gallagher,46767,19,6,10,3,21,1.11,14,23,-9,GU14,West
6,Sporting Iowa ECNL GU14,Sporting Iowa Central,59751,19,3,13,3,12,0.63,17,55,-38,GU14,West
7,Gretna Elite Academy ECNL GU14,Gretna Elite Academy,46765,19,1,16,2,5,0.26,16,75,-59,GU14,West
1,Michigan Hawks ECNL GU15,Michigan Hawks,35251,13,11,1,1,34,2.62,33,4,29,GU15,Flight 1
2,Eclipse Select SC ECNL GU15,Eclipse Select Soccer Club,13614,13,9,1,3,30,2.31,20,9,11,GU15,Flight 1
3,SLSG Navy ECNL GU15,St. Louis Scott Gallagher,34464,13,10,3,0,30,2.31,49,13,36,GU15,Flight 1
4,Kansas City Athletics ECNL GU15,KC Athletics,19672,13,9,3,1,28,2.15,40,15,25,GU15,Flight 1
5,Sporting Blue Valley ECNL GU15,Sporting Blue Valley,46618,13,9,3,1,28,2.15,28,16,12,GU15,Flight 1
6,Gretna Elite Academy ECNL GU15,No Club Selection,35249,13,7,4,2,23,1.77,28,17,11,GU15,Flight 1
7,Minnesota Thunder ECNL GU15,No Club Selection,35253,13,6,5,2,20,1.54,28,15,13,GU15,Flight 1
8,Midwest United FC ECNL GU15,Midwest United FC,59334,13,5,4,4,19,1.46,20,15,5,GU15,Flight 1
9,SLSG Green ECNL GU15,St. Louis Scott Gallagher,35254,13,5,5,3,18,1.38,19,19,0,GU15,Flight 1
10,Sporting Iowa ECNL GU15,Sporting Iowa Central,59752,13,2,9,2,8,0.62,10,35,-25,GU15,Flight 1
11,FC Wisconsin ECNL GU15,FC Wisconsin Girls,35250,13,2,9,2,8,0.62,6,32,-26,GU15,Flight 1
12,Michigan Hawks Magic ECNL GU15,Michigan Hawks,35252,13,2,10,1,7,0.54,6,25,-19,GU15,Flight 1
13,Liverpool FC IA Michigan ECNL GU15,Liverpool FC-IA Michigan,58649,13,1,10,2,5,0.38,7,40,-33,GU15,Flight 1
14,Eclipse Select SC North ECNL GU15,Eclipse Select Soccer Club,35248,13,1,12,0,3,0.23,4,43,-39,GU15,Flight 1
1,SLSG Navy ECNL GU16,St. Louis Scott Gallagher,20075,13,12,0,1,37,2.85,57,2,55,GU16,Flight 1
2,Eclipse Select SC ECNL GU16,Eclipse Select Soccer Club,20375,13,11,1,1,34,2.62,41,14,27,GU16,Flight 1
