rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Pittsburgh Riverhounds ECNL G13,Pittsburgh Riverhounds,69760,22,21,0,1,64,2.91,102,16,86
2,Ohio Premier ECNL G13,Ohio Premier,80685,22,19,2,1,58,2.64,87,18,69
3,Tennessee SC ECNL G13,Tennessee SC,117710,22,12,6,4,40,1.82,39,20,19
4,WNY Flash ECNL G13,WNY Flash Academy,71192,22,13,8,1,40,1.82,49,35,14
5,Internationals SC ECNL G13,Internationals SC,69614,22,12,6,4,40,1.82,34,23,11
6,FC Pride Elite ECNL G13,FC Pride,68813,22,11,8,3,36,1.64,33,26,7
7,Cleveland Force SC ECNL G13,Cleveland Force SC,71387,22,8,11,3,27,1.23,26,31,-5
8,Ohio Elite SA ECNL G13,Ohio Elite Soccer Academy,69457,22,8,11,3,27,1.23,31,38,-7
9,Indy Eleven Pro Academy ECNL G13,Indy Eleven Academy,72343,22,5,14,3,18,0.82,31,49,-18
10,GTFC Impact ECNL G13,GTFC Impact,108214,22,4,16,2,14,0.64,25,66,-41
11,Racing Louisville Academy ECNL G13,Racing Louisville Academy,69117,22,2,17,3,9,0.41,16,83,-67
12,FC Alliance ECNL G13,FC Alliance TN,113254,22,1,17,4,7,0.32,11,79,-68
