rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Ohio Elite SA ECNL G11,Ohio Elite Soccer Academy,69945,16,9,3,4,31,1.94,41,28,13
2,Indy Eleven Pro Academy ECNL G11,Indy Eleven Academy,84176,16,9,6,1,28,1.75,28,23,5
3,Tennessee SC ECNL G11,Tennessee SC,82416,16,6,5,5,23,1.44,28,23,5
4,FC Alliance ECNL G11,FC Alliance TN,59429,16,6,8,2,20,1.25,25,32,-7
5,Racing Louisville Academy ECNL G11,Racing Louisville Academy,60641,16,2,12,2,8,0.5,25,49,-24
6,FC Pride Elite ECNL G11,FC Pride,45765,16,0,15,1,1,0.06,4,46,-42
