rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Ohio Premier ECNL G08/07,Ohio Premier,46800,16,13,1,2,41,2.56,35,9,26
2,Internationals SC ECNL G08/07,Internationals SC,46797,16,13,2,1,40,2.5,46,20,26
3,Cleveland Force SC ECNL G08/07,Cleveland Force SC,46988,16,9,6,1,28,1.75,29,23,6
4,WNY Flash ECNL G08/07,WNY Flash Academy,12942,16,6,8,2,20,1.25,30,33,-3
5,Pittsburgh Riverhounds ECNL G08/07,Pittsburgh Riverhounds,46802,16,6,9,1,19,1.19,16,35,-19
6,GTFC Impact ECNL G08/07,GTFC Impact,108207,16,6,10,0,18,1.13,44,48,-4
