rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Ohio Premier ECNL G12,Ohio Premier,71333,22,20,2,0,60,2.73,84,22,62
2,Tennessee SC ECNL G12,Tennessee SC,95659,22,17,1,4,55,2.5,66,12,54
3,Internationals SC ECNL G12,Internationals SC,61433,22,16,3,3,51,2.32,55,18,37
4,Cleveland Force SC ECNL G12,Cleveland Force SC,60141,22,14,7,1,43,1.95,50,32,18
5,Indy Eleven Pro Academy ECNL G12,Indy Eleven Academy,95897,22,12,8,2,38,1.73,36,21,15
6,FC Pride Elite ECNL G12,FC Pride,59612,22,10,10,2,32,1.45,31,37,-6
7,FC Alliance ECNL G12,FC Alliance TN,89809,22,7,12,3,24,1.09,28,43,-15
8,Pittsburgh Riverhounds ECNL G12,Pittsburgh Riverhounds,69761,22,7,13,2,23,1.05,46,54,-8
9,Ohio Elite SA ECNL G12,Ohio Elite Soccer Academy,59470,22,7,13,2,23,1.05,40,54,-14
10,WNY Flash ECNL G12,WNY Flash Academy,61753,22,7,13,2,23,1.05,33,53,-20
11,Racing Louisville Academy ECNL G12,Racing Louisville Academy,62251,22,1,17,4,7,0.32,14,69,-55
12,GTFC Impact ECNL G12,GTFC Impact,108213,22,0,19,3,3,0.14,18,86,-68
