rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Real Colorado National ECNL G09,Real Colorado,58631,13,12,0,1,37,2.85,47,7,40
2,Crossfire Premier ECNL G09,Crossfire Premier,60436,13,10,1,2,32,2.46,32,8,24
3,Seattle United ECNL G09,Seattle United,56728,13,10,1,2,32,2.46,34,12,22
4,Portland Thorns ECNL G09,Portland Thorns FC,59582,13,9,2,2,29,2.23,34,18,16
5,Utah Avalanche ECNL G09,Utah Avalanche,58149,13,8,5,0,24,1.85,30,22,8
6,Colorado Rapids ECNL G09,Colorado Storm,59850,13,5,5,3,18,1.38,16,30,-14
7,Northwest Elite FC ECNL G09,Oregon Surf SC,66437,13,4,6,3,15,1.15,26,29,-3
8,Washington Premier ECNL G09,Washington Premier FC,54576,13,4,6,3,15,1.15,23,25,-2
9,Eastside FC ECNL G09,Eastside FC (WA),59855,13,3,6,4,13,1.0,10,21,-11
10,Boise Thorns FC ECNL G09,Boise Timbers | Thorns,59556,13,3,7,3,12,0.92,19,26,-7
11,PacNW SC ECNL G09,PacNW,46755,13,3,9,1,10,0.77,15,28,-13
12,Pride SC ECNL G09,Pride SC,48226,13,3,9,1,10,0.77,15,28,-13
13,Real Colorado Athletico ECNL G09,Real Colorado,58634,13,1,8,4,7,0.54,8,29,-21
14,La Roca FC ECNL G09,La Roca FC,45847,13,1,11,1,4,0.31,9,35,-26
