rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Real Colorado National ECNL G05/04,Real Colorado,45856,13,12,0,1,37,2.85,46,5,41
2,Crossfire Premier ECNL G05/04,Crossfire Premier,12590,13,11,1,1,34,2.62,50,12,38
3,Portland Thorns ECNL G05/04,Portland Thorns FC,45863,13,7,1,5,26,2.0,27,4,23
4,Eastside FC ECNL G05/04,Eastside FC (WA),35154,13,8,4,1,25,1.92,30,25,5
5,Seattle United ECNL G05/04,Seattle United,19792,13,8,5,0,24,1.85,25,11,14
6,La Roca FC ECNL G05/04,La Roca FC,45851,13,6,3,4,22,1.69,28,13,15
7,Northwest Elite FC ECNL G05/04,Oregon Surf SC,66433,13,6,6,1,19,1.46,19,19,0
8,Utah Avalanche ECNL G05/04,Utah Avalanche,12594,13,6,7,0,18,1.38,18,25,-7
9,Real Colorado Athletico ECNL G05/04,Real Colorado,46446,13,4,5,4,16,1.23,11,15,-4
10,Boise Thorns FC ECNL G05/04,Boise Timbers | Thorns,12593,13,3,10,0,9,0.69,8,38,-30
11,Colorado Rapids ECNL G05/04,Colorado Storm,11901,13,2,8,3,9,0.69,16,32,-16
12,Washington Premier ECNL G05/04,Washington Premier FC,12363,13,2,8,3,9,0.69,8,33,-25
13,PacNW SC ECNL G05/04,PacNW,68793,13,1,9,3,6,0.46,13,47,-34
14,Pride SC ECNL G05/04,No Club Selection,35223,13,1,10,2,5,0.38,8,28,-20
