rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,La Roca FC ECNL G07/06,La Roca FC,45849,18,14,1,3,45,2.5,62,22,40
2,XF Academy ECNL G07/06,No Club Selection,26840,18,13,0,5,44,2.44,50,12,38
3,Seattle United ECNL G07/06,Seattle United,35177,18,10,7,1,31,1.72,48,29,19
4,Utah Avalanche ECNL G07,Utah Avalanche,35178,18,9,5,4,31,1.72,38,24,14
5,Portland Thorns ECNL G07/06,Portland Thorns FC,45861,18,9,6,3,30,1.67,36,16,20
6,PacNW SC ECNL G07/06,PacNW,19484,18,6,6,6,24,1.33,35,28,7
7,Boise Thorns FC ECNL G07/06,Boise Timbers | Thorns,35152,18,6,9,3,21,1.17,36,33,3
8,Washington Premier ECNL G07/06,Washington Premier FC,35179,18,4,11,3,15,0.83,17,58,-41
9,Eastside FC ECNL G07/06,Eastside FC (WA),35153,18,4,13,1,13,0.72,23,45,-22
10,Oregon Surf ECNL G07/06,Oregon Surf SC,90903,18,0,17,1,1,0.06,5,83,-78
