rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,XF Academy ECNL G09,Crossfire Premier,60436,18,14,0,4,46,2.56,36,7,29
2,La Roca FC ECNL G09,La Roca FC,45847,18,12,4,2,38,2.11,38,21,17
3,Seattle United ECNL G09,Seattle United,56728,18,11,2,5,38,2.11,31,15,16
4,Portland Thorns ECNL G09,Portland Thorns FC,59582,18,9,1,8,35,1.94,33,14,19
5,Oregon Surf ECNL G09,Oregon Surf SC,90907,18,7,9,2,23,1.28,21,28,-7
6,Eastside FC ECNL G09,Eastside FC (WA),59855,18,5,9,4,19,1.06,19,27,-8
7,Boise Thorns FC ECNL G09,Boise Timbers | Thorns,59556,18,6,11,1,19,1.06,24,41,-17
8,Washington Premier ECNL G09,Washington Premier FC,54576,18,5,10,3,18,1.0,23,29,-6
9,Utah Avalanche ECNL G09,Utah Avalanche,58149,18,3,11,4,13,0.72,24,33,-9
10,PacNW SC ECNL G09,PacNW,46755,18,0,15,3,3,0.17,10,44,-34
