rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,XF Academy ECNL G08,No Club Selection,21818,18,16,1,1,49,2.72,75,13,62
2,Portland Thorns ECNL G08,Portland Thorns FC,45859,18,10,3,5,35,1.94,37,30,7
3,Oregon Surf ECNL G08,Oregon Surf SC,90905,18,8,4,6,30,1.67,38,26,12
4,La Roca FC ECNL G08,La Roca FC,45848,18,7,4,7,28,1.56,31,19,12
5,Washington Premier ECNL G08,Washington Premier FC,39098,18,7,7,4,25,1.39,22,24,-2
6,Boise Thorns FC ECNL G08,Boise Timbers | Thorns,46756,18,6,8,4,22,1.22,19,26,-7
7,Utah Avalanche ECNL G08,Utah Avalanche,46754,18,6,10,2,20,1.11,29,38,-9
8,Seattle United ECNL G08,Seattle United,39162,18,5,11,2,17,0.94,23,41,-18
9,Eastside FC ECNL G08,Eastside FC (WA),46753,18,4,11,3,15,0.83,18,37,-19
10,PacNW SC ECNL G08,PacNW,35172,18,3,13,2,11,0.61,15,53,-38
