rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Eastside FC ECNL G10,Eastside FC (WA),69451,18,14,2,2,44,2.44,46,12,34
2,Portland Thorns ECNL G10,Portland Thorns FC,69551,18,13,1,4,43,2.39,44,11,33
3,La Roca FC ECNL G10,La Roca FC,69014,18,11,2,5,38,2.11,38,17,21
4,Washington Premier ECNL G10,Washington Premier FC,68860,18,8,7,3,27,1.5,27,28,-1
5,Oregon Surf ECNL G10,Oregon Surf SC,90908,18,7,6,5,26,1.44,29,27,2
6,XF Academy ECNL G10,Crossfire Premier,62279,18,6,8,4,22,1.22,15,21,-6
7,Seattle United ECNL G10,Seattle United,62229,18,6,8,4,22,1.22,24,19,5
8,Utah Avalanche ECNL G10,Utah Avalanche,69486,18,4,8,6,18,1.0,22,30,-8
9,Boise Thorns FC ECNL G10,Boise Timbers | Thorns,69320,18,3,12,3,12,0.67,22,33,-11
10,PacNW SC ECNL G10,PacNW,68795,18,0,18,0,0,0.0,6,75,-69
