rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,XF Academy ECNL G12,Crossfire Premier,94927,18,14,2,2,44,2.44,49,9,40
2,Washington Premier ECNL G12,Washington Premier FC,83471,18,13,3,2,41,2.28,42,9,33
3,La Roca FC ECNL G12,La Roca FC,94433,18,12,5,1,37,2.06,43,21,22
4,Eastside FC ECNL G12,Eastside FC (WA),80480,18,11,5,2,35,1.94,31,19,12
5,Utah Avalanche ECNL G12,Utah Avalanche,81565,18,9,6,3,30,1.67,22,22,0
6,Portland Thorns ECNL G12,Portland Thorns FC,78875,18,8,7,3,27,1.5,28,24,4
7,PacNW SC ECNL G12,PacNW,85527,18,4,10,4,16,0.89,11,37,-26
8,Seattle United ECNL G12,Seattle United,88412,18,3,11,4,13,0.72,20,27,-7
9,Oregon Surf ECNL G12,Oregon Surf SC,90910,18,1,12,5,8,0.44,7,38,-31
10,Boise Thorns FC ECNL G12,Boise Timbers | Thorns,82285,18,1,15,2,5,0.28,15,62,-47
