rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,XF Academy ECNL G11,Crossfire Premier,82131,18,16,1,1,49,2.72,51,9,42
2,Eastside FC ECNL G11,Eastside FC (WA),76992,18,13,2,3,42,2.33,45,11,34
3,Washington Premier ECNL G11,Washington Premier FC,81526,18,10,3,5,35,1.94,41,18,23
4,PacNW SC ECNL G11,PacNW,81140,18,11,5,2,35,1.94,27,18,9
5,Utah Avalanche ECNL G11,Utah Avalanche,69910,18,10,6,2,32,1.78,48,22,26
6,La Roca FC ECNL G11,La Roca FC,45851,18,6,9,3,21,1.17,19,26,-7
7,Portland Thorns ECNL G11,Portland Thorns FC,78876,18,6,10,2,20,1.11,29,28,1
8,Boise Thorns FC ECNL G11,Boise Timbers | Thorns,82108,18,3,13,2,11,0.61,15,62,-47
9,Oregon Surf ECNL G11,Oregon Surf SC,90909,18,1,13,4,7,0.39,7,42,-35
10,Seattle United ECNL G11,Seattle United,77000,18,0,14,4,4,0.22,7,53,-46
