rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,FC Stars Blue ECNL G08/07,FC Stars,35278,12,12,0,0,36,3.0,50,1,49,G2008/2007,ECNL
2,Scorpions SC ECNL G08/07,Scorpions SC,46961,12,9,2,1,28,2.33,31,13,18,G2008/2007,ECNL
3,SUSA FC ECNL G08/07,SUSA FC,14509,11,5,3,3,18,1.64,20,10,10,G2008/2007,ECNL
4,World Class FC ECNL G08/07,World Class FC,36640,11,6,5,0,18,1.64,19,15,4,G2008/2007,ECNL
5,Connecticut FC United ECNL G08/07,Connecticut FC,46829,11,4,5,2,14,1.27,18,24,-6,G2008/2007,ECNL
6,FC Stars White ECNL G08/07,FC Stars,21552,12,4,5,3,15,1.25,9,17,-8,G2008/2007,ECNL
7,Select ECNL G08/07,Select,95009,12,3,7,2,11,0.92,11,26,-15,G2008/2007,ECNL
8,FSA FC ECNL G08/07,FSA FC,25539,12,3,8,1,10,0.83,16,30,-14,G2008/2007,ECNL
9,East Meadow SC ECNL G08/07,East Meadow Soccer Club,36634,11,0,11,0,0,0.0,5,43,-38,G2008/2007,ECNL
1,World Class FC ECNL G09,World Class FC,46959,16,12,1,3,39,2.44,35,12,23,G2009,ECNL
2,Select ECNL G09,Select,95007,16,11,2,3,36,2.25,49,14,35,G2009,ECNL
3,FC Stars Blue ECNL G09,FC Stars,36636,16,11,2,3,36,2.25,33,9,24,G2009,ECNL
4,SUSA FC ECNL G09,SUSA FC,46963,16,6,5,5,23,1.44,19,15,4,G2009,ECNL
5,FC Stars White ECNL G09,FC Stars,36635,16,5,4,7,22,1.38,24,20,4,G2009,ECNL
6,Scorpions SC ECNL G09,Scorpions SC,36639,16,2,6,8,14,0.88,16,31,-15,G2009,ECNL
7,Connecticut FC United ECNL G09,Connecticut FC,47024,16,2,9,5,11,0.69,6,24,-18,G2009,ECNL
8,East Meadow SC ECNL G09,East Meadow Soccer Club,46957,16,2,12,2,8,0.5,11,34,-23,G2009,ECNL
9,FSA FC ECNL G09,FSA FC,46953,16,1,11,4,7,0.44,15,49,-34,G2009,ECNL
1,FC Stars Blue ECNL G10,FC Stars,46955,16,13,2,1,40,2.5,38,8,30,G2010,ECNL
2,World Class FC ECNL G10,World Class FC,14328,16,10,3,3,33,2.06,37,14,23,G2010,ECNL
3,SUSA FC ECNL G10,SUSA FC,59680,16,8,4,4,28,1.75,26,16,10,G2010,ECNL
4,Connecticut FC United ECNL G10,Connecticut FC,68939,16,7,5,4,25,1.56,26,23,3,G2010,ECNL
5,Select ECNL G10,Select,95006,16,8,8,0,24,1.5,20,21,-1,G2010,ECNL
6,Scorpions SC ECNL G10,Scorpions SC,59799,16,4,6,6,18,1.13,21,30,-9,G2010,ECNL
7,FC Stars White ECNL G10,FC Stars,46951,16,2,9,5,11,0.69,7,21,-14,G2010,ECNL
8,FSA FC ECNL G10,FSA FC,60791,16,2,9,5,11,0.69,14,35,-21,G2010,ECNL
9,East Meadow SC ECNL G10,East Meadow Soccer Club,60351,16,2,10,4,10,0.63,21,42,-21,G2010,ECNL
1,FC Stars Blue ECNL G11,FC Stars,61500,16,11,2,3,36,2.25,32,9,23,G2011,ECNL
2,SUSA FC ECNL G11,SUSA FC,59943,16,9,3,4,31,1.94,23,8,15,G2011,ECNL
3,Select ECNL G11,Select,95005,16,9,4,3,30,1.88,30,13,17,G2011,ECNL
4,World Class FC ECNL G11,World Class FC,40890,16,8,4,4,28,1.75,23,14,9,G2011,ECNL
5,East Meadow SC ECNL G11,East Meadow Soccer Club,60352,16,8,4,4,28,1.75,25,19,6,G2011,ECNL
6,Connecticut FC United ECNL G11,Connecticut FC,82324,16,7,6,3,24,1.5,24,17,7,G2011,ECNL
7,Scorpions SC ECNL G11,Scorpions SC,69533,16,3,9,4,13,0.81,14,29,-15,G2011,ECNL
8,FC Stars White ECNL G11,FC Stars,61270,16,0,11,5,5,0.31,6,37,-31,G2011,ECNL
9,FSA FC ECNL G11,FSA FC,60789,16,0,12,4,4,0.25,6,37,-31,G2011,ECNL
1,World Class FC ECNL G12,World Class FC,48903,16,12,2,2,38,2.38,39,8,31,G2012,ECNL
2,FC Stars Blue ECNL G12,FC Stars,70655,16,9,1,6,33,2.06,29,13,16,G2012,ECNL
3,SUSA FC ECNL G12,SUSA FC,68848,16,10,3,3,33,2.06,32,14,18,G2012,ECNL
4,FC Stars White ECNL G12,FC Stars,81913,16,8,7,1,25,1.56,22,19,3,G2012,ECNL
5,Select ECNL G12,Select,94581,16,6,5,5,23,1.44,29,24,5,G2012,ECNL
6,Scorpions SC ECNL G12,Scorpions SC,81552,16,5,6,5,20,1.25,17,23,-6,G2012,ECNL
7,East Meadow SC ECNL G12,East Meadow Soccer Club,64577,16,5,8,3,18,1.13,23,23,0,G2012,ECNL
8,Connecticut FC United ECNL G12,Connecticut FC,82332,16,1,13,2,5,0.31,13,48,-35,G2012,ECNL
9,FSA FC ECNL G12,FSA FC,69502,16,0,11,5,5,0.31,19,51,-32,G2012,ECNL
1,World Class FC ECNL G13,World Class FC,64207,16,11,2,3,36,2.25,36,13,23,G2013,ECNL
2,FSA FC ECNL G13,FSA FC,82176,16,8,0,8,32,2.0,25,10,15,G2013,ECNL
3,Select ECNL G13,Select,95016,16,10,4,2,32,2.0,31,12,19,G2013,ECNL
4,SUSA FC ECNL G13,SUSA FC,95340,16,7,3,6,27,1.69,15,9,6,G2013,ECNL
5,Scorpions SC ECNL G13,Scorpions SC,94742,16,7,6,3,24,1.5,17,15,2,G2013,ECNL
6,East Meadow SC ECNL G13,East Meadow Soccer Club,95597,16,4,8,4,16,1.0,13,21,-8,G2013,ECNL
7,FC Stars Blue ECNL G13,FC Stars,94540,16,3,8,5,14,0.88,17,26,-9,G2013,ECNL
8,FC Stars White ECNL G13,FC Stars,82242,16,2,9,5,11,0.69,6,25,-19,G2013,ECNL
9,Connecticut FC United ECNL G13,Connecticut FC,114091,16,0,12,4,4,0.25,4,33,-29,G2013,ECNL
