rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,MVLA ECNL G06/05,MVLA,20426,18,18,0,0,54,3.0,81,6,75,G2006/2005,ECNL
2,San Juan SC ECNL G06/05,San Juan Soccer Club,20430,18,12,2,4,40,2.22,36,10,26,G2006/2005,ECNL
3,Mustang SC ECNL G06/05,Mustang Soccer,13301,18,8,8,2,26,1.44,32,29,3,G2006/2005,ECNL
4,Placer United ECNL G06/05,Placer United Soccer Club,67917,18,7,6,5,26,1.44,32,30,2,G2006/2005,ECNL
5,De Anza Force ECNL G06/05,Force,45843,18,7,6,5,26,1.44,30,30,0,G2006/2005,ECNL
6,Bay Area Surf ECNL G06/05,Bay Area Surf,65151,18,7,7,4,25,1.39,31,34,-3,G2006/2005,ECNL
7,Davis Legacy ECNL G06/05,Davis Legacy Soccer Club,20425,18,7,10,1,22,1.22,31,53,-22,G2006/2005,ECNL
8,Marin FC ECNL G06/05,Marin FC,35163,18,6,9,3,21,1.17,36,45,-9,G2006/2005,ECNL
9,Santa Rosa United ECNL G06/05,Santa Rosa United Soccer,20432,18,3,13,2,11,0.61,16,45,-29,G2006/2005,ECNL
10,Pleasanton RAGE ECNL G06/05,Pleasanton Rage,20429,18,2,16,0,6,0.33,18,61,-43,G2006/2005,ECNL
1,Bay Area Surf ECNL G07,Bay Area Surf,65152,18,15,2,1,46,2.56,67,17,50,G2007,ECNL
2,San Juan SC ECNL G07,San Juan Soccer Club,35173,18,14,3,1,43,2.39,69,11,58,G2007,ECNL
3,MVLA ECNL G07,MVLA,35169,18,13,3,2,41,2.28,60,16,44,G2007,ECNL
4,Placer United ECNL G07,Placer United Soccer Club,68830,18,9,5,4,31,1.72,32,19,13,G2007,ECNL
5,Mustang SC ECNL G07,Mustang Soccer,18803,18,10,7,1,31,1.72,35,26,9,G2007,ECNL
6,De Anza Force ECNL G07,Force,45842,18,8,7,3,27,1.5,29,23,6,G2007,ECNL
7,Santa Rosa United ECNL G07,Santa Rosa United Soccer,35174,18,5,12,1,16,0.89,18,64,-46,G2007,ECNL
8,Davis Legacy ECNL G07,Davis Legacy Soccer Club,21335,18,3,12,3,12,0.67,21,50,-29,G2007,ECNL
9,Pleasanton RAGE ECNL G07,Pleasanton Rage,35170,18,2,13,3,9,0.5,13,49,-36,G2007,ECNL
10,Marin FC ECNL G07,Marin FC,35162,18,1,16,1,4,0.22,5,74,-69,G2007,ECNL
1,De Anza Force ECNL G08,Force,45841,18,16,0,2,50,2.78,52,8,44,G2008,ECNL
2,MVLA ECNL G08,MVLA,30872,18,15,2,1,46,2.56,67,11,56,G2008,ECNL
3,San Juan SC ECNL G08,No Club Selection,39174,18,14,2,2,44,2.44,60,10,50,G2008,ECNL
4,Mustang SC ECNL G08,Mustang Soccer,4653,18,9,7,2,29,1.61,39,25,14,G2008,ECNL
5,Bay Area Surf ECNL G08,Bay Area Surf,65153,18,8,7,3,27,1.5,31,29,2,G2008,ECNL
6,Placer United ECNL G08,Placer United Soccer Club,67918,18,7,9,2,23,1.28,23,32,-9,G2008,ECNL
7,Santa Rosa United ECNL G08,Santa Rosa United Soccer,39258,18,5,11,2,17,0.94,21,67,-46,G2008,ECNL
8,Davis Legacy ECNL G08,No Club Selection,39186,18,5,12,1,16,0.89,17,33,-16,G2008,ECNL
9,Marin FC ECNL G08,Marin FC,39517,18,0,14,4,4,0.22,8,52,-44,G2008,ECNL
10,Pleasanton RAGE ECNL G08,Pleasanton Rage,39255,18,0,15,3,3,0.17,11,62,-51,G2008,ECNL
1,MVLA ECNL G09,MVLA,33438,18,15,1,2,47,2.61,60,9,51,G2009,ECNL
2,San Juan SC ECNL G09,San Juan Soccer Club,31488,18,15,2,1,46,2.56,48,8,40,G2009,ECNL
3,Bay Area Surf ECNL G09,Bay Area Surf,69035,18,12,3,3,39,2.17,39,21,18,G2009,ECNL
4,Davis Legacy ECNL G09,Davis Legacy Soccer Club,60301,18,10,6,2,32,1.78,35,28,7,G2009,ECNL
5,Mustang SC ECNL G09,Mustang Soccer,31328,18,5,9,4,19,1.06,15,33,-18,G2009,ECNL
6,Marin FC ECNL G09,Marin FC,56277,18,6,11,1,19,1.06,11,35,-24,G2009,ECNL
7,De Anza Force ECNL G09,Force,60044,18,6,12,0,18,1.0,30,45,-15,G2009,ECNL
8,Santa Rosa United ECNL G09,Santa Rosa United Soccer,49621,18,5,11,2,17,0.94,20,25,-5,G2009,ECNL
9,Placer United ECNL G09,Placer United Soccer Club,68831,18,4,12,2,14,0.78,12,39,-27,G2009,ECNL
10,Pleasanton RAGE ECNL G09,Pleasanton Rage,39256,18,2,13,3,9,0.5,8,35,-27,G2009,ECNL
1,MVLA ECNL G10,MVLA,33633,18,18,0,0,54,3.0,108,7,101,G2010,ECNL
2,Mustang SC ECNL G10,Mustang Soccer,18712,18,15,3,0,45,2.5,72,15,57,G2010,ECNL
3,San Juan SC ECNL G10,San Juan Soccer Club,32669,18,14,4,0,42,2.33,59,17,42,G2010,ECNL
4,De Anza Force ECNL G10,Force,62271,18,11,6,1,34,1.89,44,23,21,G2010,ECNL
5,Bay Area Surf ECNL G10,Bay Area Surf,69036,18,10,6,2,32,1.78,35,31,4,G2010,ECNL
6,Placer United ECNL G10,Placer United Soccer Club,68832,18,8,10,0,24,1.33,33,45,-12,G2010,ECNL
7,Santa Rosa United ECNL G10,Santa Rosa United Soccer,68674,18,3,14,1,10,0.56,14,64,-50,G2010,ECNL
8,Marin FC ECNL G10,Marin FC,62042,18,2,13,3,9,0.5,19,79,-60,G2010,ECNL
9,Davis Legacy ECNL G10,Davis Legacy Soccer Club,69625,18,2,14,2,8,0.44,15,62,-47,G2010,ECNL
10,Pleasanton RAGE ECNL G10,Pleasanton Rage,44309,18,2,15,1,7,0.39,16,72,-56,G2010,ECNL
1,MVLA ECNL G11,MVLA,55477,18,15,1,2,47,2.61,47,5,42,G2011,ECNL
2,Mustang SC ECNL G11,Mustang Soccer,31529,18,14,1,3,45,2.5,52,10,42,G2011,ECNL
3,Bay Area Surf ECNL G11,Bay Area Surf,74987,18,13,3,2,41,2.28,41,12,29,G2011,ECNL
4,San Juan SC ECNL G11,San Juan Soccer Club,77003,18,8,7,3,27,1.5,19,18,1,G2011,ECNL
5,Davis Legacy ECNL G11,Davis Legacy Soccer Club,81189,18,8,9,1,25,1.39,25,31,-6,G2011,ECNL
6,De Anza Force ECNL G11,Force,69022,18,5,10,3,18,1.0,13,22,-9,G2011,ECNL
7,Marin FC ECNL G11,Marin FC,82192,18,4,10,4,16,0.89,12,24,-12,G2011,ECNL
8,Placer United ECNL G11,Placer United Soccer Club,81251,18,5,12,1,16,0.89,11,31,-20,G2011,ECNL
9,Pleasanton RAGE ECNL G11,Pleasanton Rage,44313,18,4,11,3,15,0.83,12,38,-26,G2011,ECNL
10,Santa Rosa United ECNL G11,Santa Rosa United Soccer,77797,18,2,14,2,8,0.44,11,52,-41,G2011,ECNL
