rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL G06/05,MVLA,20426,18,18,0,0,54,3.0,81,6,75
2,San Juan SC ECNL G06/05,San Juan Soccer Club,20430,18,12,2,4,40,2.22,36,10,26
3,Mustang SC ECNL G06/05,Mustang Soccer,13301,18,8,8,2,26,1.44,32,29,3
4,Placer United ECNL G06/05,Placer United Soccer Club,67917,18,7,6,5,26,1.44,32,30,2
5,De Anza Force ECNL G06/05,Force,45843,18,7,6,5,26,1.44,30,30,0
6,Bay Area Surf ECNL G06/05,Bay Area Surf,65151,18,7,7,4,25,1.39,31,34,-3
7,Davis Legacy ECNL G06/05,Davis Legacy Soccer Club,20425,18,7,10,1,22,1.22,31,53,-22
8,Marin FC ECNL G06/05,Marin FC,35163,18,6,9,3,21,1.17,36,45,-9
9,Santa Rosa United ECNL G06/05,Santa Rosa United Soccer,20432,18,3,13,2,11,0.61,16,45,-29
10,Pleasanton RAGE ECNL G06/05,Pleasanton Rage,20429,18,2,16,0,6,0.33,18,61,-43
