rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL G11,MVLA,55477,18,15,1,2,47,2.61,47,5,42
2,Mustang SC ECNL G11,Mustang Soccer,31529,18,14,1,3,45,2.5,52,10,42
3,Bay Area Surf ECNL G11,Bay Area Surf,74987,18,13,3,2,41,2.28,41,12,29
4,San Juan SC ECNL G11,San Juan Soccer Club,77003,18,8,7,3,27,1.5,19,18,1
5,Davis Legacy ECNL G11,Davis Legacy Soccer Club,81189,18,8,9,1,25,1.39,25,31,-6
6,De Anza Force ECNL G11,Force,69022,18,5,10,3,18,1.0,13,22,-9
7,Marin FC ECNL G11,Marin FC,82192,18,4,10,4,16,0.89,12,24,-12
8,Placer United ECNL G11,Placer United Soccer Club,81251,18,5,12,1,16,0.89,11,31,-20
9,Pleasanton RAGE ECNL G11,Pleasanton Rage,44313,18,4,11,3,15,0.83,12,38,-26
10,Santa Rosa United ECNL G11,Santa Rosa United Soccer,77797,18,2,14,2,8,0.44,11,52,-41
