rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL G09,MVLA,33438,18,15,1,2,47,2.61,60,9,51
2,San Juan SC ECNL G09,San Juan Soccer Club,31488,18,15,2,1,46,2.56,48,8,40
3,Bay Area Surf ECNL G09,Bay Area Surf,69035,18,12,3,3,39,2.17,39,21,18
4,Davis Legacy ECNL G09,Davis Legacy Soccer Club,60301,18,10,6,2,32,1.78,35,28,7
5,Mustang SC ECNL G09,Mustang Soccer,31328,18,5,9,4,19,1.06,15,33,-18
6,Marin FC ECNL G09,Marin FC,56277,18,6,11,1,19,1.06,11,35,-24
7,De Anza Force ECNL G09,Force,60044,18,6,12,0,18,1.0,30,45,-15
8,Santa Rosa United ECNL G09,Santa Rosa United Soccer,49621,18,5,11,2,17,0.94,20,25,-5
9,Placer United ECNL G09,Placer United Soccer Club,68831,18,4,12,2,14,0.78,12,39,-27
10,Pleasanton RAGE ECNL G09,Pleasanton Rage,39256,18,2,13,3,9,0.5,8,35,-27
