rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bay Area Surf ECNL G07,Bay Area Surf,65152,18,15,2,1,46,2.56,67,17,50
2,San Juan SC ECNL G07,San Juan Soccer Club,35173,18,14,3,1,43,2.39,69,11,58
3,MVLA ECNL G07,MVLA,35169,18,13,3,2,41,2.28,60,16,44
4,Placer United ECNL G07,Placer United Soccer Club,68830,18,9,5,4,31,1.72,32,19,13
5,Mustang SC ECNL G07,Mustang Soccer,18803,18,10,7,1,31,1.72,35,26,9
6,De Anza Force ECNL G07,Force,45842,18,8,7,3,27,1.5,29,23,6
7,Santa Rosa United ECNL G07,Santa Rosa United Soccer,35174,18,5,12,1,16,0.89,18,64,-46
8,Davis Legacy ECNL G07,Davis Legacy Soccer Club,21335,18,3,12,3,12,0.67,21,50,-29
9,Pleasanton RAGE ECNL G07,Pleasanton Rage,35170,18,2,13,3,9,0.5,13,49,-36
10,Marin FC ECNL G07,Marin FC,35162,18,1,16,1,4,0.22,5,74,-69
