rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,St. Louis Scott Gallagher Navy ECNL G2012/13,St. Louis Scott Gallagher,134836,3,2,0,1,7,2.33,9,3,6
2,Gretna Elite Academy ECNL G2012/13,Gretna Elite Academy,131819,3,2,1,0,6,2.0,4,6,-2
3,St. Louis Scott Gallagher Green ECNL G2012/13,St. Louis Scott Gallagher,134837,3,0,0,3,3,1.0,2,2,0
4,Kansas City Athletics ECNL G2012/13,KC Athletics,116235,1,0,0,1,1,1.0,1,1,0
5,Sporting Iowa ECNL G2012/13,Sporting Iowa Central,95236,3,0,2,1,1,0.33,0,3,-3
6,MN Thunder Academy ECNL G2012/13,Minnesota Thunder Academy,134411,0,0,0,0,0,0.0,0,0,0
7,Sporting Blue Valley ECNL G2012/13,Sporting Blue Valley,131580,1,0,1,0,0,0.0,0,5,-5
8,Missouri Rush ECNL G2012/13,Missouri Rush,114381,1,0,1,0,0,0.0,0,7,-7
