rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Chicago Inter ECNL G2012/13,Chicago Inter,127994,0,0,0,0,0,0.0,0,0,0
2,Eclipse Select Soccer Club ECNL G2012/13,Eclipse Select Soccer Club,136036,0,0,0,0,0,0.0,0,0,0
3,FC Wisconsin ECNL G2012/13,FC Wisconsin Girls,82513,0,0,0,0,0,0.0,0,0,0
4,Liverpool FC MI ECNL G2012/13,Liverpool FC-IA Michigan,104671,0,0,0,0,0,0.0,0,0,0
5,Michigan Hawks ECNL G2012/13,Michigan Hawks,134178,0,0,0,0,0,0.0,0,0,0
6,Michigan Hawks Magic ECNL G2012/13,Michigan Hawks,134182,0,0,0,0,0,0.0,0,0,0
7,Nationals SC ECNL G2012/13,Nationals,115103,0,0,0,0,0,0.0,0,0,0
8,Rockford Raptors FC ECNL G2012/13,Rockford Raptors FC,134301,0,0,0,0,0,0.0,0,0,0
