rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Legends FC ECNL G08,Legends FC (CA),8362,24,19,2,3,60,2.5,70,11,59
2,Eagles SC ECNL G08,Eagles SC,6122,24,16,3,5,53,2.21,43,15,28
3,Beach FC ECNL G08,Beach Futbol Club,60045,24,13,8,3,42,1.75,47,31,16
4,SLAMMERS FC ECNL G08,Slammers FC,9288,24,12,7,5,41,1.71,43,34,9
5,Sporting California USA ECNL G08,Sporting California USA,28062,24,11,8,5,38,1.58,40,29,11
6,Utah Royals FC-AZ ECNL G08,Utah Royals FC - AZ,56526,24,7,13,4,25,1.04,21,46,-25
7,Heat FC ECNL G08,LV Heat Surf SC ,46745,24,4,18,2,14,0.58,16,76,-60
8,LAFC So Cal ECNL G08,LAFC So Cal,45887,24,3,17,4,13,0.54,13,42,-29
9,LA Breakers FC ECNL G08,No Club Selection,29129,24,3,18,3,12,0.5,18,59,-41
