rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL G12,MVLA,55325,20,19,1,0,57,2.85,132,13,119
2,Bay Area Surf ECNL G12,Bay Area Surf,95449,20,14,4,2,44,2.2,84,21,63
3,Mustang SC ECNL G12,Mustang Soccer,29444,20,14,4,2,44,2.2,73,15,58
4,San Juan SC ECNL G12,San Juan Soccer Club,84677,20,14,5,1,43,2.15,74,25,49
5,Placer United ECNL G12,Placer United Soccer Club,68030,20,13,4,3,42,2.1,43,17,26
6,COSC ECNL G12,California Odyssey Soccer Club,113580,20,8,10,2,26,1.3,42,71,-29
7,Santa Rosa United ECNL G12 ,Santa Rosa United Soccer,68207,20,4,11,5,17,0.85,23,57,-34
8,Davis Legacy ECNL G12,Davis Legacy Soccer Club,90732,20,5,14,1,16,0.8,24,80,-56
9,De Anza Force ECNL G12,Force,94620,20,4,14,2,14,0.7,15,77,-62
10,Pleasanton RAGE ECNL G12,Pleasanton Rage,63606,20,2,16,2,8,0.4,15,81,-66
11,Marin FC ECNL G12,Marin FC,92794,20,2,16,2,8,0.4,11,79,-68
