rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Avalanche ECNL G2009/10,Utah Avalanche,69486,0,0,0,0,0,0.0,0,0,0
2,Boise Thorns ECNL G2009/10,Boise Timbers | Thorns,69320,0,0,0,0,0,0.0,0,0,0
3,Eastside FC ECNL G2009/10,Eastside FC (WA),69451,0,0,0,0,0,0.0,0,0,0
4,La Roca FC ECNL G 2009/10,La Roca FC,134122,0,0,0,0,0,0.0,0,0,0
5,Oregon Surf ECNL G2009/10,Oregon Surf SC,130031,0,0,0,0,0,0.0,0,0,0
6,PacNW SC ECNL G2009/10,PacNW,68795,0,0,0,0,0,0.0,0,0,0
7,Portland Thorns ECNL G2009/10,Portland Thorns FC,129743,0,0,0,0,0,0.0,0,0,0
8,Seattle United ECNL G2009/10,Seattle United,56728,0,0,0,0,0,0.0,0,0,0
9,XF ECNL G2009/10,Crossfire Premier,62279,0,0,0,0,0,0.0,0,0,0
10,Washington Premier ECNL G2009/10,Washington Premier FC,68860,0,0,0,0,0,0.0,0,0,0
