rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Avalanche ECNL G2012/13,Utah Avalanche,103936,0,0,0,0,0,0.0,0,0,0
2,Boise Thorns ECNL G2012/13,Boise Timbers | Thorns,115480,0,0,0,0,0,0.0,0,0,0
3,Eastside FC ECNL G2012/13,Eastside FC (WA),90882,0,0,0,0,0,0.0,0,0,0
4,La Roca FC ECNL G2012/13,La Roca FC,134144,0,0,0,0,0,0.0,0,0,0
5,Oregon Surf ECNL G2012/13,Oregon Surf SC,130048,0,0,0,0,0,0.0,0,0,0
6,PacNW SC ECNL G2012/13,PacNW,104642,0,0,0,0,0,0.0,0,0,0
7,Portland Thorns ECNL G2012/13,Portland Thorns FC,129673,0,0,0,0,0,0.0,0,0,0
8,Seattle United ECNL G2012/13,Seattle United,88412,0,0,0,0,0,0.0,0,0,0
9,XF ECNL G2012/13,Crossfire Premier,104549,0,0,0,0,0,0.0,0,0,0
10,Washington Premier ECNL G2012/13,Washington Premier FC,83471,0,0,0,0,0,0.0,0,0,0
