rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Avalanche ECNL G2013/14,Utah Avalanche,127576,0,0,0,0,0,0.0,0,0,0
2,Boise Thorns ECNL G2013/14,Boise Timbers | Thorns,132621,0,0,0,0,0,0.0,0,0,0
3,Eastside FC ECNL G2013/14,Eastside FC (WA),90863,0,0,0,0,0,0.0,0,0,0
4,La Roca FC ECNL G2013/14,La Roca FC,134157,0,0,0,0,0,0.0,0,0,0
5,Oregon Surf ECNL G2013/14,Oregon Surf SC,90917,0,0,0,0,0,0.0,0,0,0
6,PacNW SC ECNL G2013/14,PacNW,131336,0,0,0,0,0,0.0,0,0,0
7,Portland Thorns ECNL G2013/14,Portland Thorns FC,129674,0,0,0,0,0,0.0,0,0,0
8,Seattle United ECNL G2013/14,Seattle United,103559,0,0,0,0,0,0.0,0,0,0
9,XF ECNL G2013/14,Crossfire Premier,99660,0,0,0,0,0,0.0,0,0,0
10,Washington Premier ECNL G2013/14,Washington Premier FC,99088,0,0,0,0,0,0.0,0,0,0
