rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Avalanche ECNL G2011/12,Utah Avalanche,81565,0,0,0,0,0,0.0,0,0,0
2,Boise Thorns ECNL G2011/12,Boise Timbers | Thorns,82285,0,0,0,0,0,0.0,0,0,0
3,Eastside FC ECNL G2011/12,Eastside FC (WA),80480,0,0,0,0,0,0.0,0,0,0
4,La Roca FC ECNL G2011/12,La Roca FC,134137,0,0,0,0,0,0.0,0,0,0
5,Oregon Surf ECNL G2011/12,Oregon Surf SC,130041,0,0,0,0,0,0.0,0,0,0
6,PacNW SC ECNL G2011/12,PacNW,85527,0,0,0,0,0,0.0,0,0,0
7,Portland Thorns ECNL G2011/12,Portland Thorns FC,129741,0,0,0,0,0,0.0,0,0,0
8,Seattle United ECNL G2011/12,Seattle United,77000,0,0,0,0,0,0.0,0,0,0
9,Washington Premier ECNL G2011/12,Washington Premier FC,134546,0,0,0,0,0,0.0,0,0,0
10,XF ECNL G2011/12,Crossfire Premier,94927,0,0,0,0,0,0.0,0,0,0
